event_id,n_detections,frame_start,frame_end,lifetime_frames,lifetime_seconds,x_centroid,y_centroid,x_std,y_std,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width_px,bbox_height_px,peak_intensity,mean_intensity,total_area_Mm2,mean_area_Mm2,total_area_km2,mean_area_km2,original_cluster_id
1,2,0,0,1,10.0,2001.5,3.5,3.5,2.5,1998.0,1.0,2005.0,6.0,8.0,6.0,1315.7393798828125,1315.6064453125,0.078609329201371,0.0393046646006855,78609.329201371,39304.6646006855,1
18,1,0,0,1,10.0,511.0,2013.0,0.0,0.0,511.0,2013.0,511.0,2013.0,1.0,1.0,1327.7705078125,1327.7705078125,0.0393046646006855,0.0393046646006855,39304.6646006855,39304.6646006855,31
4,12,0,8,9,90.0,213.4217329545455,136.67588383838384,2.163882142808274,6.863267703333496,209.0,128.625,216.33333333333331,149.0,8.333333333333314,21.375,1351.579345703125,1338.2431640625,2.7513202188407515,0.22927668490339595,2751320.2188407513,229276.68490339594,5
17,10,0,9,10,100.0,1465.625,1589.625,1.9210999453438127,1.966119274103176,1460.0,1587.0,1467.0,1594.0,8.0,8.0,1318.42041015625,1315.2469848632813,0.6681764541264225,0.06681764541264225,668176.4541264224,66817.64541264225,25
16,27,0,17,18,180.0,251.67518137984007,1578.4020851673185,9.485069244074557,6.308301480086743,238.0,1570.5,262.1666666666667,1588.0,25.166666666666686,18.5,1343.71630859375,1332.6595323350693,8.646984435188635,0.32025868278476427,8646984.435188634,320258.68278476427,24
15,1,0,0,1,10.0,534.0,1427.0,0.0,0.0,534.0,1427.0,534.0,1427.0,1.0,1.0,1338.0069580078125,1338.0069580078125,0.0393046646006855,0.0393046646006855,39304.6646006855,39304.6646006855,20
14,3,0,2,3,30.0,447.125,1398.5,0.6692657668420421,2.041241452319315,446.375,1396.0,448.0,1401.0,2.625,6.0,1338.716064453125,1328.158447265625,0.471655744594468,0.15721858153148935,471655.74459446804,157218.58153148936,18
13,13,0,9,10,100.0,1866.1785714285716,1394.5600732600735,4.5571501295581305,2.6677897219540507,1857.3333333333333,1391.0,1870.75,1399.6666666666667,14.416666666666742,9.666666666666742,1335.552490234375,1328.5474759615386,2.083139767744199,0.16024152059570762,2083139.767744199,160241.5205957076,17
12,8,0,7,8,80.0,2020.8436813186813,794.7886561355311,0.6788445417371815,1.6425776890022186,2019.5714285714287,791.6666666666667,2021.75,797.6428571428571,3.178571428571331,6.976190476190368,1335.436767578125,1327.3031158447266,2.869234174188249,0.35865427177353115,2869234.1741882493,358654.27177353116,14
11,2,0,1,2,20.0,1224.75,672.0,0.25,2.0,1224.5,670.0,1225.0,674.0,1.5,5.0,1325.490478515625,1325.090576171875,0.1179139169303342,0.0589569584651671,117913.9169303342,58956.9584651671,13
10,6,0,5,6,60.0,633.3402777777777,542.3819444444445,0.9551325371801707,2.2875489099540873,631.75,539.6666666666666,634.6666666666666,546.25,3.9166666666666288,7.583333333333371,1337.9183349609375,1328.1320393880208,0.9826152313681115,0.16376920522801858,982615.2313681114,163769.20522801857,12
9,1,0,0,1,10.0,589.0,535.0,0.0,0.0,589.0,535.0,589.0,535.0,1.0,1.0,1329.565185546875,1329.565185546875,0.0393046646006855,0.0393046646006855,39304.6646006855,39304.6646006855,11
8,9,0,7,8,80.0,415.97222222222223,478.80555555555554,2.8685179207612412,2.5489043882121027,409.0,474.0,419.0,483.0,11.0,10.0,1324.852294921875,1321.8075764973958,0.6288725966240983,0.06987473295823315,628872.5966240984,69874.73295823316,10
7,12,0,11,12,120.0,1563.5773809523807,388.2142857142857,0.8651475326280373,1.8179988978108397,1561.65,384.42857142857144,1565.357142857143,390.8571428571429,4.707142857142799,7.428571428571445,1329.609619140625,1326.643819173177,3.0657489651925447,0.25547908043271206,3065748.9651925447,255479.08043271207,9
6,1,0,0,1,10.0,1548.0,291.0,0.0,0.0,1548.0,291.0,1548.0,291.0,1.0,1.0,1326.8399658203125,1326.8399658203125,0.0393046646006855,0.0393046646006855,39304.6646006855,39304.6646006855,8
5,6,0,4,5,50.0,252.83333333333334,169.65277777777777,6.229410530343586,2.514962938145794,239.0,166.66666666666666,257.0,174.0,19.0,8.333333333333343,1323.8822021484375,1317.3992716471355,0.4716553602489867,0.07860922670816445,471655.3602489867,78609.22670816445,6
2,11,0,8,9,90.0,344.92424242424244,97.31060606060606,4.573951078278277,4.267875495940826,336.0,93.25,349.5,107.0,14.5,14.75,1344.284912109375,1330.675204190341,0.8253946897543514,0.07503588088675922,825394.6897543514,75035.88088675922,3
3,16,0,15,16,160.0,702.9645833333333,110.64583333333334,0.7716521551911196,1.6614658437656795,701.25,107.75,704.6666666666666,113.75,4.416666666666629,7.0,1346.51513671875,1335.4660720825195,2.201043538676706,0.13756522116729414,2201043.538676706,137565.22116729413,4
19,1,1,1,1,10.0,533.0,62.0,0.0,0.0,533.0,62.0,533.0,62.0,1.0,1.0,1325.582275390625,1325.582275390625,0.03930462616482436,0.03930462616482436,39304.62616482436,39304.62616482436,33
20,1,1,1,1,10.0,422.0,501.0,0.0,0.0,422.0,501.0,422.0,501.0,1.0,1.0,1315.381591796875,1315.381591796875,0.03930462616482436,0.03930462616482436,39304.62616482436,39304.62616482436,34
21,5,1,6,6,60.0,110.0,1041.0,0.0,0.0,110.0,1041.0,110.0,1041.0,1.0,1.0,1313.0208740234375,1312.490234375,0.19652263120177096,0.039304526240354194,196522.63120177097,39304.52624035419,35
22,2,1,2,2,20.0,1981.8333333333335,1108.0,0.16666666666662877,4.0,1981.6666666666667,1104.0,1982.0,1112.0,1.3333333333332575,9.0,1327.9483642578125,1323.3536376953125,0.15721838935382734,0.07860919467691367,157218.38935382734,78609.19467691367,36
23,16,1,16,16,160.0,1688.3098958333333,1289.6947916666668,0.4934397649655882,1.232188640381885,1687.1666666666667,1287.3333333333333,1689.0,1291.0,2.8333333333332575,4.6666666666667425,1318.0859375,1314.8965911865234,2.318956955933735,0.14493480974585843,2318956.955933735,144934.80974585842,37
24,1,1,1,1,10.0,1331.0,1502.0,0.0,0.0,1331.0,1502.0,1331.0,1502.0,1.0,1.0,1334.3814697265625,1334.3814697265625,0.03930462616482436,0.03930462616482436,39304.62616482436,39304.62616482436,38
25,17,1,16,16,160.0,1154.369281045752,1516.4313725490197,3.5709781515400723,1.7631937966301685,1150.5,1512.0,1168.0,1518.0,18.5,7.0,1321.941162109375,1317.9005485983455,2.3975666310032455,0.14103333123548503,2397566.6310032457,141033.33123548503,39
26,19,2,20,19,190.0,1551.0369852369852,287.27673598331495,1.2125539791520485,1.8554062400619118,1549.3,284.1666666666667,1553.0,291.0,4.7000000000000455,7.833333333333314,1333.1536865234375,1328.9056203741777,4.952347193148601,0.260649852270979,4952347.193148601,260649.85227097897,40
27,2,2,4,3,30.0,215.0,374.0,0.0,0.0,215.0,374.0,215.0,374.0,1.0,1.0,1312.744384765625,1312.582275390625,0.0786090985990934,0.0393045492995467,78609.0985990934,39304.5492995467,41
28,2,2,3,2,20.0,1861.5,1195.0,0.5,0.0,1861.0,1195.0,1862.0,1195.0,2.0,1.0,1329.907470703125,1328.519287109375,0.07860913702301062,0.03930456851150531,78609.13702301061,39304.568511505306,42
29,1,2,2,1,10.0,536.0,1422.5,0.0,0.0,536.0,1422.5,536.0,1422.5,1.0,1.0,1336.607421875,1336.607421875,0.07860917545933532,0.07860917545933532,78609.17545933533,78609.17545933533,43
30,1,2,2,1,10.0,1581.0,1422.0,0.0,0.0,1581.0,1422.0,1581.0,1422.0,1.0,1.0,1332.1328125,1332.1328125,0.03930458772966766,0.03930458772966766,39304.58772966766,39304.58772966766,44
31,1,2,2,1,10.0,1544.0,1582.0,0.0,0.0,1544.0,1582.0,1544.0,1582.0,1.0,1.0,1312.0089111328125,1312.0089111328125,0.03930458772966766,0.03930458772966766,39304.58772966766,39304.58772966766,45
32,1,2,2,1,10.0,908.0,1903.0,0.0,0.0,908.0,1903.0,908.0,1903.0,1.0,1.0,1312.6861572265625,1312.6861572265625,0.03930458772966766,0.03930458772966766,39304.58772966766,39304.58772966766,46
33,1,2,2,1,10.0,925.0,1923.0,0.0,0.0,925.0,1923.0,925.0,1923.0,1.0,1.0,1314.5244140625,1314.5244140625,0.03930458772966766,0.03930458772966766,39304.58772966766,39304.58772966766,47
34,2,2,3,2,20.0,1318.5,1931.0,0.5,0.0,1318.0,1931.0,1319.0,1931.0,2.0,1.0,1319.825439453125,1317.7432861328125,0.07860913702301062,0.03930456851150531,78609.13702301061,39304.568511505306,48
35,1,3,3,1,10.0,655.0,93.0,0.0,0.0,655.0,93.0,655.0,93.0,1.0,1.0,1325.112060546875,1325.112060546875,0.03930454929334295,0.03930454929334295,39304.54929334295,39304.54929334295,49
36,1,3,3,1,10.0,538.0,296.0,0.0,0.0,538.0,296.0,538.0,296.0,1.0,1.0,1314.6981201171875,1314.6981201171875,0.03930454929334295,0.03930454929334295,39304.54929334295,39304.54929334295,50
37,1,3,3,1,10.0,1916.0,1598.0,0.0,0.0,1916.0,1598.0,1916.0,1598.0,1.0,1.0,1313.316650390625,1313.316650390625,0.03930454929334295,0.03930454929334295,39304.54929334295,39304.54929334295,51
38,11,3,14,12,120.0,1213.8022727272728,2020.5325757575758,0.7920381178739448,1.2293776374954501,1212.5,2018.625,1215.2,2022.3333333333333,3.7000000000000455,4.7083333333332575,1340.671630859375,1335.5302068536932,1.021913631466125,0.09290123922419319,1021913.631466125,92901.23922419318,52
39,28,4,30,27,270.0,721.7666988269666,45.19408200926058,1.0836562484459957,2.0279257695704254,719.875,42.0,724.0,53.0,5.125,12.0,1339.0667724609375,1327.348890032087,7.1926250278845085,0.2568794652815896,7192625.0278845085,256879.46528158963,53
40,2,4,5,2,20.0,535.0,59.5,0.0,0.5,535.0,59.0,535.0,60.0,1.0,2.0,1356.856201171875,1348.06982421875,0.07860898330557502,0.03930449165278751,78608.98330557502,39304.49165278751,54
41,1,4,4,1,10.0,1086.0,310.0,0.0,0.0,1086.0,310.0,1086.0,310.0,1.0,1.0,1331.4820556640625,1331.4820556640625,0.039304510869425734,0.039304510869425734,39304.510869425736,39304.510869425736,55
42,2,4,5,2,20.0,1982.0,1106.0,0.0,3.0,1982.0,1103.0,1982.0,1109.0,1.0,7.0,1321.8619384765625,1320.1369018554688,0.07860898330557502,0.03930449165278751,78608.98330557502,39304.49165278751,56
43,2,4,5,2,20.0,1049.5,1439.5,0.0,0.5,1049.5,1439.0,1049.5,1440.0,1.0,2.0,1333.22900390625,1330.183349609375,0.15721796661115003,0.07860898330557502,157217.96661115004,78608.98330557502,57
44,1,4,4,1,10.0,331.0,1955.0,0.0,0.0,331.0,1955.0,331.0,1955.0,1.0,1.0,1312.1461181640625,1312.1461181640625,0.039304510869425734,0.039304510869425734,39304.510869425736,39304.510869425736,58
45,4,4,7,4,40.0,701.0,2006.875,0.0,0.5448623679425842,701.0,2006.0,701.0,2007.5,1.0,2.5,1328.646240234375,1326.7474365234375,0.4323489661920341,0.10808724154800853,432348.96619203413,108087.24154800853,59
46,1,5,5,1,10.0,1562.0,183.0,0.0,0.0,1562.0,183.0,1562.0,183.0,1.0,1.0,1315.350830078125,1315.350830078125,0.03930447243614928,0.03930447243614928,39304.472436149284,39304.472436149284,60
47,8,5,12,8,80.0,9.241666666666667,311.06666666666666,2.376198527994756,3.771309822565336,3.0,308.0,10.5,320.5,8.5,13.5,1361.6959228515625,1344.5767974853516,0.8646955879910763,0.10808694849888453,864695.5879910763,108086.94849888454,61
48,1,5,5,1,10.0,1858.0,1198.0,0.0,0.0,1858.0,1198.0,1858.0,1198.0,1.0,1.0,1319.896484375,1319.896484375,0.07860894487229857,0.07860894487229857,78608.94487229857,78608.94487229857,63
49,26,5,30,26,260.0,533.6794871794872,1423.9839743589741,1.1838686735277781,1.847558337728028,531.0,1420.0,535.5,1427.5,5.5,8.5,1347.355224609375,1338.5382220928486,2.1617171601523197,0.08314296769816615,2161717.16015232,83142.96769816615,64
50,1,5,5,1,10.0,1366.0,1515.0,0.0,0.0,1366.0,1515.0,1366.0,1515.0,1.0,1.0,1323.734130859375,1323.734130859375,0.03930447243614928,0.03930447243614928,39304.472436149284,39304.472436149284,65
51,2,6,7,2,20.0,979.0,42.0,0.0,0.0,979.0,42.0,979.0,42.0,1.0,1.0,1316.095458984375,1315.7689208984375,0.07860882957048612,0.03930441478524306,78608.82957048612,39304.41478524306,66
52,1,6,6,1,10.0,1581.0,1424.0,0.0,0.0,1581.0,1424.0,1581.0,1424.0,1.0,1.0,1317.2264404296875,1317.2264404296875,0.03930443400170391,0.03930443400170391,39304.43400170391,39304.43400170391,67
53,1,6,6,1,10.0,1912.0,1599.0,0.0,0.0,1912.0,1599.0,1912.0,1599.0,1.0,1.0,1312.6141357421875,1312.6141357421875,0.03930443400170391,0.03930443400170391,39304.43400170391,39304.43400170391,68
54,2,7,7,1,10.0,149.75,442.5,5.25,6.5,144.5,436.0,155.0,449.0,11.5,14.0,1321.7301025390625,1319.11376953125,0.11791318670634666,0.05895659335317333,117913.18670634666,58956.59335317333,69
55,1,7,7,1,10.0,687.0,473.0,0.0,0.0,687.0,473.0,687.0,473.0,1.0,1.0,1331.05419921875,1331.05419921875,0.03930439556878222,0.03930439556878222,39304.39556878222,39304.39556878222,70
56,1,7,7,1,10.0,1226.0,672.0,0.0,0.0,1226.0,672.0,1226.0,672.0,1.0,1.0,1316.475830078125,1316.475830078125,0.03930439556878222,0.03930439556878222,39304.39556878222,39304.39556878222,71
57,1,7,7,1,10.0,1862.0,1196.0,0.0,0.0,1862.0,1196.0,1862.0,1196.0,1.0,1.0,1321.25634765625,1321.25634765625,0.03930439556878222,0.03930439556878222,39304.39556878222,39304.39556878222,72
58,1,8,8,1,10.0,1730.0,118.0,0.0,0.0,1730.0,118.0,1730.0,118.0,1.0,1.0,1313.2532958984375,1313.2532958984375,0.039304357135745725,0.039304357135745725,39304.357135745726,39304.357135745726,73
59,24,8,31,24,240.0,677.6243634259259,1055.7461226851851,1.350672723045294,3.099227831656644,675.875,1049.0,681.0,1059.875,6.125,11.875,1319.9415283203125,1317.7590942382812,5.934881410383322,0.2472867254326384,5934881.410383322,247286.7254326384,74
60,16,8,22,15,150.0,564.3844968144601,1141.5296895506453,2.5149919461114463,3.0627334779206064,560.0,1135.0,569.0,1145.1666666666665,10.0,11.166666666666515,1333.762939453125,1327.1649627685547,4.7951006719781475,0.2996937919986342,4795100.671978148,299693.79199863423,75
61,1,8,8,1,10.0,1593.0,1422.0,0.0,0.0,1593.0,1422.0,1593.0,1422.0,1.0,1.0,1315.5677490234375,1315.5677490234375,0.039304357135745725,0.039304357135745725,39304.357135745726,39304.357135745726,76
62,2,9,10,2,20.0,976.75,38.5,0.25,0.0,976.5,38.5,977.0,38.5,1.5,1.0,1321.9700927734375,1320.7291870117188,0.15721719795742167,0.07860859897871084,157217.19795742168,78608.59897871084,77
63,13,9,19,11,110.0,677.9230769230769,112.28846153846153,3.371490188047406,2.8833472996207226,671.5,107.0,683.0,118.0,12.5,12.0,1355.0693359375,1335.4230299729568,1.3756427766720363,0.10581867512861817,1375642.7766720364,105818.67512861817,78
64,2,9,11,3,30.0,256.0,167.0,0.0,0.0,256.0,167.0,256.0,167.0,1.0,1.0,1312.7197265625,1312.5509033203125,0.07860856054462792,0.03930428027231396,78608.56054462792,39304.28027231396,79
65,1,9,9,1,10.0,153.0,431.0,0.0,0.0,153.0,431.0,153.0,431.0,1.0,1.0,1316.845947265625,1316.845947265625,0.03930431870341375,0.03930431870341375,39304.31870341375,39304.31870341375,80
66,8,9,16,8,80.0,419.14583333333337,478.70833333333337,0.9030715334038866,1.7814631938693304,418.0,475.0,421.0,481.25,4.0,7.25,1326.163330078125,1321.9375305175781,0.7074752387048288,0.0884344048381036,707475.2387048288,88434.4048381036,81
