event_id,n_detections,frame_start,frame_end,lifetime_frames,lifetime_seconds,x_centroid,y_centroid,x_std,y_std,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width_px,bbox_height_px,peak_intensity,mean_intensity,total_area_Mm2,mean_area_Mm2,total_area_km2,mean_area_km2,original_cluster_id
22,9,3,11,9,90.0,470.3675200813729,132.1129999502458,3.1254088008117704,3.378165522356893,466.78846153846155,123.59595959595958,478.0646464646465,136.44230769230768,12.276184926184953,13.846348096348095,2478.9150390625,1686.9180772569443,5.807148727549434,0.6452387475054926,5807148.727549434,645238.7475054926,21
23,11,3,14,12,120.0,1861.9122787205163,296.052159796725,2.9405244879261834,5.416144806898803,1856.6666666666667,285.5,1867.3333333333333,306.0,11.666666666666515,21.5,1433.615478515625,1040.1592851118608,1.1019877967559863,0.10018070879599876,1101987.7967559863,100180.70879599875,22
24,26,4,30,27,270.0,942.9665899051929,135.51953242835594,1.7405865235992566,2.644889053738583,939.4642857142857,129.5,945.8000000000001,139.75,7.335714285714403,11.25,1134.9454345703125,931.3393930288462,2.3774629347988303,0.09144088210764732,2377462.93479883,91440.88210764733,23
25,2,4,6,3,30.0,518.0,723.0,1.0,0.0,517.0,723.0,519.0,723.0,3.0,1.0,871.099365234375,871.0925903320312,0.02476348200325861,0.012381741001629304,24763.482003258607,12381.741001629303,24
26,16,4,21,18,180.0,1986.2376364087302,766.2491567460318,3.8119933322591426,1.7543609216862261,1980.5,763.0,1994.0,769.7222222222222,14.5,7.722222222222172,1056.021484375,930.1794090270996,1.1020222695586375,0.06887639184741484,1102022.2695586374,68876.39184741484,25
27,4,4,7,4,40.0,1022.6856872294372,1367.1228354978352,0.5827636604597918,1.2428694835115328,1021.9583333333333,1365.0,1023.5,1368.1666666666665,2.5416666666667425,4.166666666666515,2080.69970703125,1494.3930969238281,0.5571818419065857,0.13929546047664643,557181.8419065857,139295.46047664643,26
28,4,5,8,4,40.0,1938.1527777777778,1625.1041666666665,0.8743383741965117,0.587411340828015,1937.0,1624.5,1939.0,1626.0,3.0,2.5,1301.3359375,1051.9086608886719,0.2847828981655941,0.07119572454139853,284782.8981655941,71195.72454139852,27
29,3,6,9,4,40.0,1819.361111111111,220.86111111111111,0.3068155838107596,2.232268955873825,1819.0,219.0,1819.75,224.0,1.75,6.0,1017.6033935546875,980.6287841796875,0.3962195657356821,0.1320731885785607,396219.56573568215,132073.18857856072,28
30,2,6,7,2,20.0,283.75,758.7946428571429,0.25,0.08035714285716722,283.5,758.7142857142857,284.0,758.875,1.5,1.1607142857143344,979.9259643554688,979.91845703125,0.18572768504090137,0.09286384252045068,185727.68504090136,92863.84252045068,29
31,2,6,7,2,20.0,2006.25,880.25,2.25,1.75,2004.0,878.5,2008.5,882.0,5.5,4.5,942.949462890625,942.9356079101562,0.07429115965302374,0.03714557982651187,74291.15965302374,37145.57982651187,30
32,2,7,8,2,20.0,572.3083333333334,1020.0333333333333,0.1416666666666515,0.6166666666666174,572.1666666666667,1019.4166666666667,572.45,1020.65,1.283333333333303,2.233333333333235,942.9317016601562,924.7995300292969,0.2228746936830737,0.11143734684153685,222874.69368307368,111437.34684153684,31
33,6,7,13,7,70.0,1263.9242424242423,1881.7474747474746,2.2509053377035113,0.8091375665937591,1260.5454545454545,1880.6666666666667,1267.5,1883.0,7.954545454545496,3.3333333333332575,1301.310546875,1025.174540201823,0.3962260608887827,0.06603767681479712,396226.0608887827,66037.67681479712,32
34,10,8,17,10,100.0,537.7139265962794,1102.3502639517344,1.9735517948624517,1.0434938718647564,533.5,1100.6666666666667,540.3333333333334,1104.0833333333333,7.833333333333371,4.416666666666515,2976.711181640625,1457.4198364257813,1.300148252913945,0.1300148252913945,1300148.252913945,130014.82529139449,33
35,3,8,11,4,40.0,1297.1666666666667,1857.6666666666667,3.324989557210001,0.4714045207910317,1292.5,1857.0,1300.0,1858.0,8.5,2.0,942.9273071289062,918.7499796549479,0.049528320129265696,0.016509440043088564,49528.320129265696,16509.440043088565,34
36,5,9,13,5,50.0,221.325,827.7428571428572,1.1958900707107187,2.3701373420981735,219.71428571428572,825.0,223.0,831.0,4.285714285714278,7.0,1175.4833984375,1013.6203979492187,0.3962296289673382,0.07924592579346765,396229.6289673382,79245.92579346764,35
37,4,10,14,5,50.0,1886.85,1657.425,2.206241147291006,0.7013380069552895,1884.0,1656.5,1889.0,1658.2,6.0,2.7000000000000455,1344.7105712890625,1065.5996398925781,0.16096955591858553,0.04024238897964638,160969.55591858554,40242.388979646385,36
38,3,11,13,3,30.0,475.15555555555557,40.50277777777777,1.554046887450652,4.525546484973314,473.6666666666667,36.8,477.3,46.875,4.633333333333326,11.075000000000003,1056.021484375,1018.3225708007812,0.2600269809699933,0.08667566032333111,260026.98096999334,86675.66032333112,37
39,2,11,12,2,20.0,472.45833333333337,63.75,1.2083333333333428,0.25,471.25,63.5,473.6666666666667,64.0,3.4166666666666856,1.5,906.65185546875,888.8708190917969,0.07429322940121211,0.037146614700606054,74293.22940121211,37146.61470060606,38
40,7,11,17,7,70.0,2042.4,843.3285714285714,2.1138995786393058,2.725798474624091,2039.0,838.5,2045.0,846.0,7.0,8.5,906.68408203125,891.4271763392857,0.3467085895210539,0.0495297985030077,346708.5895210539,49529.798503007696,39
