frame,x,y,area_px,intensity,area_km2
0,99.66666666666667,5.601449275362318,139.0,5399.134765625,4781924.101161029
0,333.6666666666667,0.3333333333333333,3.0,4679.8115234375,103954.8717643702
0,1142.0,0.25,4.0,5723.5986328125,138606.49568582693
0,1230.0,0.0,1.0,4291.9462890625,34651.62392145673
0,27.0,2.0,3.0,3921.7958984375,103954.8717643702
0,18.8,4.8,5.0,4387.513671875,173258.11960728368
0,86.5,4.0,2.0,4105.4716796875,69303.24784291346
0,1122.625,6.625,8.0,5084.92578125,277212.99137165386
0,27.0,6.0,1.0,3921.7958984375,34651.62392145673
0,41.0,6.0,1.0,3831.822265625,34651.62392145673
0,24.034965034965033,19.22027972027972,295.0,7610.248046875,9910364.441536626
0,56.38666666666666,53.334583333333335,2413.0,10053.521484375,83163897.41149616
0,43.8421052631579,12.552631578947368,38.0,4881.203125,1316761.709015356
0,34.0,10.0,1.0,3831.822265625,34651.62392145673
0,89.5,10.0,2.0,3831.822265625,69303.24784291346
0,58.666666666666664,12.0,3.0,4198.2431640625,103954.8717643702
0,70.0,11.333333333333334,3.0,3921.7958984375,103954.8717643702
0,34.0,12.5,2.0,4291.9462890625,69303.24784291346
0,76.0,12.5,8.0,4291.9462890625,277212.99137165386
0,90.0,13.0,1.0,3831.822265625,34651.62392145673
0,62.0,14.0,1.0,3831.822265625,34651.62392145673
0,32.666666666666664,15.666666666666666,3.0,4105.4716796875,103954.8717643702
0,103.625,16.375,8.0,4105.4716796875,277212.99137165386
0,11.75,17.25,8.0,4198.2431640625,277212.99137165386
0,45.34426229508197,25.147540983606557,61.0,5399.134765625,2113749.0592088606
0,59.87096774193548,24.161290322580644,31.0,4484.013671875,1074200.3415651587
0,54.583333333333336,29.0,12.0,5188.4189453125,415819.4870574808
0,1.0,29.0,1.0,4013.16796875,34651.62392145673
0,9.0,29.0,1.0,4291.9462890625,34651.62392145673
0,95.33333333333333,29.333333333333332,3.0,4291.9462890625,103954.8717643702
0,103.0,29.0,1.0,3921.7958984375,34651.62392145673
0,30.428571428571427,31.142857142857142,7.0,4013.16796875,242561.3674501971
0,72.0,30.5,2.0,3921.7958984375,69303.24784291346
0,41.0,32.0,1.0,3831.822265625,34651.62392145673
0,48.8,34.4,5.0,4581.9130859375,173258.11960728368
0,18.0,36.0,1.0,3831.822265625,34651.62392145673
0,27.5,36.0,2.0,4198.2431640625,69303.24784291346
0,34.0,37.0,3.0,4105.4716796875,103954.8717643702
0,49.5,37.5,4.0,4198.2431640625,138606.49568582693
0,78.0,42.0,1.0,3831.822265625,34651.62392145673
0,63.0,43.0,1.0,3831.822265625,34651.62392145673
0,79.46153846153847,45.0,13.0,4484.013671875,450471.11097893753
0,61.0,45.0,1.0,3831.822265625,34651.62392145673
0,97.83333333333333,46.666666666666664,6.0,4291.9462890625,207909.7435287404
0,64.0,47.0,1.0,3831.822265625,34651.62392145673
0,95.0,47.0,1.0,4013.16796875,34651.62392145673
0,69.0,48.0,1.0,3831.822265625,34651.62392145673
0,95.0,49.5,2.0,4013.16796875,69303.24784291346
0,48.0,53.25,12.0,4581.9130859375,415819.4870574808
0,105.0,54.2,5.0,4105.4716796875,173258.11960728368
0,117.0,54.0,1.0,3831.822265625,34651.62392145673
0,121.0,55.0,1.0,3921.7958984375,34651.62392145673
0,116.0,56.0,1.0,3921.7958984375,34651.62392145673
0,18.0,57.0,1.0,3921.7958984375,34651.62392145673
0,40.0,57.5,2.0,4291.9462890625,69303.24784291346
0,37.0,60.0,1.0,3831.822265625,34651.62392145673
0,133.58452722063038,84.65902578796562,349.0,30567.04296875,12093416.7485884
0,83.5,65.0,2.0,4105.4716796875,69303.24784291346
0,116.0,66.0,1.0,3921.7958984375,34651.62392145673
0,87.0,70.0,1.0,4013.16796875,34651.62392145673
0,62.0,71.0,1.0,3831.822265625,34651.62392145673
0,1289.3333333333333,73.33333333333333,3.0,3921.7958984375,103954.8717643702
0,106.0,77.5,2.0,3921.7958984375,69303.24784291346
0,1284.0,77.0,1.0,3921.7958984375,34651.62392145673
0,64.0,78.0,1.0,3831.822265625,34651.62392145673
0,66.5,78.0,2.0,4105.4716796875,69303.24784291346
0,31.5,79.0,2.0,4105.4716796875,69303.24784291346
0,1282.0,79.0,1.0,3831.822265625,34651.62392145673
0,106.75,81.25,4.0,4198.2431640625,138606.49568582693
0,108.0,88.0,1.0,3831.822265625,34651.62392145673
0,1519.5,91.0,2.0,3831.822265625,69303.24784291346
0,86.9554367201426,106.48663101604278,594.0,9481.978515625,19439561.01993723
0,1537.5752818925491,161.1448153880168,4625.0,6284.4189453125,156729294.9967488
0,1523.0,93.0,1.0,4013.16796875,34651.62392145673
0,145.0,94.0,1.0,4013.16796875,34651.62392145673
0,58.5,95.5,2.0,3831.822265625,69303.24784291346
0,106.0,95.5,2.0,4105.4716796875,69303.24784291346
0,1626.0,96.0,1.0,3831.822265625,34651.62392145673
0,1629.6666666666667,96.66666666666667,3.0,3921.7958984375,103954.8717643702
0,135.0,100.0,1.0,3831.822265625,34651.62392145673
0,1635.0,100.0,1.0,3831.822265625,34651.62392145673
0,1522.0,101.0,1.0,3831.822265625,34651.62392145673
0,1629.0,101.0,1.0,3831.822265625,34651.62392145673
0,1632.6666666666667,101.66666666666667,3.0,4013.16796875,103954.8717643702
0,1522.0,103.0,1.0,3831.822265625,34651.62392145673
0,1612.0,103.0,1.0,3831.822265625,34651.62392145673
0,1632.1289247500438,181.3116997018067,5748.0,6870.87890625,197548907.97622484
0,1657.0,103.0,1.0,3831.822265625,34651.62392145673
0,1621.0,104.0,1.0,3831.822265625,34651.62392145673
0,1610.5,106.25,4.0,3921.7958984375,138606.49568582693
0,1636.6666666666667,106.0,3.0,3831.822265625,103954.8717643702
0,1647.5,105.5,2.0,4013.16796875,69303.24784291346
0,1659.0,105.0,1.0,3921.7958984375,34651.62392145673
0,1662.9,107.8,10.0,3921.7958984375,346516.23921456735
0,1538.0,106.0,1.0,3831.822265625,34651.62392145673
0,1654.0,106.33333333333333,3.0,4013.16796875,103954.8717643702
0,1661.0,106.0,1.0,3831.822265625,34651.62392145673
0,1487.0,107.66666666666667,3.0,3921.7958984375,103954.8717643702
