frame,x,y,area_px,intensity,area_km2,track_id,lifetime_frames
0,333.6666666666667,0.3333333333333333,3.0,4679.8115234375,103954.8717643702,0,4
0,1230.0,0.0,1.0,4291.9462890625,34651.62392145673,1,1
0,1213.0,132.66666666666666,3.0,3921.7958984375,103954.8717643702,2,1
0,33.0,189.0,1.0,3921.7958984375,34651.62392145673,3,1
0,659.0,512.0,1.0,3921.7958984375,34651.62392145673,4,1
0,204.0,133.0,1.0,3831.822265625,34651.62392145673,5,1
0,1725.5714285714287,394.42857142857144,7.0,5084.92578125,242561.3674501971,6,1
0,1840.0,462.0,1.0,3831.822265625,34651.62392145673,7,1
0,303.0,1280.0,3.0,4484.013671875,103954.8717643702,9,1
0,726.0,1133.5,2.0,3831.822265625,69303.24784291346,10,2
0,1355.3333333333333,724.1111111111111,9.0,5945.0361328125,311864.6152931106,11,2
0,850.5,911.5,2.0,3921.7958984375,69303.24784291346,12,3
0,62.5,1003.5,2.0,3831.822265625,69303.24784291346,13,2
1,1402.6666666666667,946.3333333333334,3.0,4105.4716796875,103954.8717643702,14,4
1,852.0,911.0,3.0,7113.76123046875,103954.8717643702,12,3
1,1820.3846153846155,2026.0,13.0,9764.953125,450471.11097893753,15,2
1,726.25,1133.5,4.0,4105.4716796875,138606.49568582693,10,2
1,333.6,0.8,5.0,6056.455078125,173258.11960728368,0,4
1,1013.0,1007.5,2.0,3831.822265625,69303.24784291346,16,2
1,62.25,1003.75,4.0,4013.16796875,138606.49568582693,13,2
1,689.0,545.5,2.0,3831.822265625,69303.24784291346,17,2
1,158.625,195.375,8.0,4881.203125,277212.99137165386,18,2
1,1234.0,21.0,1.0,3831.822265625,34651.62392145673,19,1
1,1355.5714285714287,722.7142857142857,7.0,4981.8994140625,242561.3674501971,11,2
2,333.1111111111111,1.7777777777777777,9.0,9341.0048828125,311864.6152931106,0,4
2,157.6,195.8,15.0,6633.490234375,519774.35882185097,18,2
2,1402.0,946.0,1.0,3921.7431640625,34651.62392145673,14,4
2,851.5,911.0,2.0,4679.734375,69303.24784291346,12,3
2,1819.7,2026.7,10.0,7864.99072265625,346516.23921456735,15,2
2,685.0,545.0,1.0,3831.931640625,34651.62392145673,17,2
2,1012.0,1008.5,2.0,4484.1240234375,69303.24784291346,16,2
2,296.0,1293.0,1.0,4198.2314453125,34651.62392145673,20,1
3,332.8,1.3,10.0,8255.447265625,346516.23921456735,0,4
3,725.6666666666666,1134.3333333333333,3.0,3921.7958984375,103954.8717643702,22,2
3,1402.0,947.0,1.0,3831.822265625,34651.62392145673,14,4
4,726.0,1135.0,1.0,4012.9658203125,34651.62392145673,22,2
4,1401.0,947.0,1.0,3921.7431640625,34651.62392145673,14,4
4,859.9252158894645,1164.5582037996546,5790.0,10053.384765625,200632902.50523448,23,1
4,1121.0,6.0,3.0,5085.0625,103954.8717643702,24,4
4,750.5,6.0,2.0,4679.734375,69303.24784291346,25,2
4,22.0,185.0,1.0,3831.931640625,34651.62392145673,26,3
4,1550.0,247.0,1.0,4679.734375,34651.62392145673,27,1
4,683.0,545.0,1.0,3831.931640625,34651.62392145673,28,2
4,1609.271536034943,347.5748604707595,4121.0,9341.0048828125,142799342.18032318,29,1
5,331.42857142857144,1.2857142857142858,7.0,5833.9404296875,242561.3674501971,30,1
5,1121.0,5.0,3.0,5506.5126953125,103954.8717643702,24,4
5,751.0,3.0,1.0,3832.0849609375,34651.62392145673,25,2
5,23.0,183.0,1.0,3921.6728515625,34651.62392145673,26,3
5,57.0,1002.0,1.0,3832.0849609375,34651.62392145673,31,1
5,640.0,607.0,1.0,3832.0849609375,34651.62392145673,32,1
5,683.0,543.0,1.0,4292.302734375,34651.62392145673,28,2
5,1818.0,2027.5,2.0,5399.189453125,69303.24784291346,33,1
6,790.5,1159.0,2.0,4013.2744140625,69303.24784291346,34,1
6,1419.0,684.0,1.0,3831.9814453125,34651.62392145673,35,1
6,1399.0,945.0,1.0,3921.755859375,34651.62392145673,36,3
6,97.0,901.0,1.0,3831.9814453125,34651.62392145673,37,1
6,113.0,479.0,1.0,3831.9814453125,34651.62392145673,38,1
6,1119.4,6.2,5.0,5084.9111328125,173258.11960728368,24,4
6,1723.0,389.0,1.0,3831.9814453125,34651.62392145673,39,1
6,21.0,181.0,1.0,4105.6650390625,34651.62392145673,26,3
6,1223.0,20.0,1.0,4105.6650390625,34651.62392145673,40,1
7,331.6666666666667,1.3333333333333333,9.0,8255.6376953125,311864.6152931106,41,1
7,1120.5,8.5,6.0,5292.9287109375,207909.7435287404,24,4
7,152.0,193.0,1.0,3921.861328125,34651.62392145673,42,1
7,1728.0,379.5,2.0,4484.16015625,69303.24784291346,43,1
7,1748.6666666666667,415.3333333333333,3.0,6399.9560546875,103954.8717643702,44,1
7,84.0,916.0,1.0,3921.861328125,34651.62392145673,45,1
7,39.0,923.8181818181819,11.0,4582.193359375,381167.86313602404,46,1
7,0.5,943.0,2.0,4105.4404296875,69303.24784291346,47,1
7,1400.3333333333333,946.6666666666666,3.0,4292.2578125,103954.8717643702,36,3
8,1215.0,47.0,1.0,3832.05810546875,34651.62392145673,48,1
8,1208.258064516129,128.5483870967742,31.0,4387.39404296875,1074200.3415651587,49,3
8,165.5,148.0,4.0,5085.212890625,138606.49568582693,50,2
8,1401.6,946.0,5.0,4582.0048828125,173258.11960728368,36,3
8,669.0,975.0,1.0,3921.7177734375,34651.62392145673,51,2
8,57.0,1010.0,1.0,3832.05810546875,34651.62392145673,52,1
8,832.0,1198.0,1.0,3921.7177734375,34651.62392145673,53,1
9,695.0,54.0,1.0,4013.0947265625,34651.62392145673,54,2
9,205.0,125.0,1.0,3831.9638671875,34651.62392145673,55,1
9,1209.325,129.525,40.0,4292.17578125,1386064.9568582694,49,3
9,166.5,149.5,4.0,4780.37255859375,138606.49568582693,50,2
9,1860.0,456.0,1.0,3921.751953125,34651.62392145673,56,1
9,549.0,748.0,1.0,3921.751953125,34651.62392145673,57,1
9,670.0,976.0,1.0,3921.751953125,34651.62392145673,51,2
9,1819.0,2028.5,2.0,5399.169921875,69303.24784291346,58,3
10,1233.0,22.0,1.0,3831.85107421875,34651.62392145673,59,5
10,695.0,53.0,1.0,4198.22119140625,34651.62392145673,54,2
10,1209.3902439024391,129.2439024390244,41.0,4483.97607421875,1420716.580779726,49,3
10,25.0,185.5,2.0,4013.06982421875,69303.24784291346,60,2
10,86.0,188.5,2.0,4292.27099609375,69303.24784291346,61,2
10,112.0,781.0,1.0,3831.85107421875,34651.62392145673,62,1
10,726.0,1133.0,1.0,3831.85107421875,34651.62392145673,63,1
10,299.0,1290.0,1.0,4105.80908203125,34651.62392145673,64,1
10,1819.0,2028.0,3.0,5293.06982421875,103954.8717643702,58,3
11,1233.0,21.0,1.0,3831.7900390625,34651.62392145673,59,5
11,24.0,182.5,2.0,4198.2099609375,69303.24784291346,60,2
11,86.0,188.5,2.0,3921.9345703125,69303.24784291346,61,2
11,748.9285714285714,516.1428571428571,14.0,4012.9140625,485122.7349003942,65,2
11,1446.6666666666667,714.6666666666666,3.0,4012.9140625,103954.8717643702,66,3
11,58.0,1006.0,1.0,3921.9345703125,34651.62392145673,67,1
11,1819.0,2028.0,1.0,4484.083984375,34651.62392145673,58,3
12,1233.0,20.5,2.0,3921.6728515625,69303.24784291346,59,5
12,1650.0,504.0,1.0,3832.0849609375,34651.62392145673,68,2
12,657.5,510.7142857142857,14.0,4387.34765625,485122.7349003942,69,1
12,748.2222222222222,516.2222222222222,9.0,4013.080078125,311864.6152931106,65,2
12,681.0,554.0,1.0,3832.0849609375,34651.62392145673,70,1
12,725.5,1133.5,2.0,3921.6728515625,69303.24784291346,71,1
12,548.0,747.0,1.0,4105.8505859375,34651.62392145673,72,1
12,1447.25,715.25,8.0,6870.7939453125,277212.99137165386,66,3
13,1214.0,65.0,1.0,4012.94873046875,34651.62392145673,73,5
13,351.3333333333333,4.5,6.0,4198.181640625,207909.7435287404,74,1
13,1232.0,21.0,1.0,3922.00439453125,34651.62392145673,59,5
13,799.0,1185.0,1.0,3832.06298828125,34651.62392145673,75,1
13,1446.8333333333333,714.8333333333334,6.0,6056.52587890625,207909.7435287404,66,3
13,1644.0,510.0,1.0,3832.06298828125,34651.62392145673,68,2
14,1206.9333333333334,127.96666666666667,30.0,4881.1884765625,1039548.7176437019,76,1
14,1231.0,20.5,2.0,3832.0341796875,69303.24784291346,59,5
14,1213.5,64.5,2.0,4012.94482421875,69303.24784291346,73,5
14,725.5,1132.5,2.0,3921.68603515625,69303.24784291346,77,1
14,55.0,1007.0,1.0,3832.0341796875,34651.62392145673,78,1
14,669.0,975.0,1.0,3832.0341796875,34651.62392145673,79,1
14,289.0,876.0,1.0,3832.0341796875,34651.62392145673,80,1
14,979.3207140393239,817.7406864436012,11596.0,13839.970703125,401820230.9932123,81,1
14,747.9090909090909,515.0,11.0,4198.3544921875,381167.86313602404,82,1
14,1860.25,448.375,8.0,3921.68603515625,277212.99137165386,83,1
15,547.0,746.5,2.0,3921.9990234375,69303.24784291346,84,4
15,655.9375,509.8125,16.0,4387.279296875,554425.9827433077,85,1
15,1212.3333333333333,64.33333333333333,3.0,4013.2216796875,103954.8717643702,73,5
15,797.0,1186.0,1.0,4013.2216796875,34651.62392145673,86,1
16,1231.0,20.0,1.0,4012.90625,34651.62392145673,87,1
16,1120.0,6.0,1.0,4387.5068359375,34651.62392145673,88,1
16,27.72222222222222,1295.388888888889,18.0,6170.640625,623729.2305862212,89,1
16,59.0,1004.6666666666666,3.0,3921.6640625,103954.8717643702,90,2
16,547.3333333333334,746.3333333333334,3.0,4105.525390625,103954.8717643702,84,4
16,679.0,552.0,1.0,3831.7958984375,34651.62392145673,91,2
16,747.7,514.6,10.0,4012.90625,346516.23921456735,92,1
16,1469.0,375.0,3.0,5084.8955078125,103954.8717643702,93,1
16,1212.0,65.0,1.0,3831.7958984375,34651.62392145673,73,5
16,175.0,63.0,1.0,4105.525390625,34651.62392145673,94,1
17,59.0,1004.5,2.0,3831.7880859375,69303.24784291346,90,2
17,643.6,612.2,5.0,4013.1650390625,173258.11960728368,95,1
17,547.0,745.6666666666666,3.0,4198.2734375,103954.8717643702,84,4
17,31.0,190.5,2.0,4105.486328125,69303.24784291346,96,2
17,1212.0,65.0,1.0,3831.7880859375,34651.62392145673,73,5
17,695.0,57.0,1.0,3831.7880859375,34651.62392145673,97,1
17,680.0,552.0,1.0,3921.77734375,34651.62392145673,91,2
17,797.0,1186.0,1.0,3831.7880859375,34651.62392145673,98,2
17,725.0,1130.0,1.0,3831.7880859375,34651.62392145673,99,3
18,544.0,745.0,1.0,4105.8212890625,34651.62392145673,84,4
18,794.0,1184.0,1.0,3832.09765625,34651.62392145673,98,2
18,1851.576923076923,375.8076923076923,26.0,4198.34765625,900942.2219578751,100,1
18,28.5,189.0,2.0,3832.09765625,69303.24784291346,96,2
18,327.1666666666667,1.6666666666666667,6.0,5506.2470703125,207909.7435287404,101,3
18,722.0,1129.0,1.0,3832.09765625,34651.62392145673,99,3
18,420.5,870.5,2.0,4013.294921875,69303.24784291346,102,3
18,173.0,61.5,2.0,4292.3193359375,69303.24784291346,103,2
18,1135.5,795.0,2.0,4105.8212890625,69303.24784291346,104,1
19,174.0,62.5,2.0,5615.1484375,69303.24784291346,103,2
19,328.46153846153845,2.769230769230769,13.0,7993.849609375,450471.11097893753,101,3
19,693.5,57.0,2.0,4292.1201171875,69303.24784291346,105,1
19,292.0,665.0,1.0,4780.517578125,34651.62392145673,106,1
19,203.0,126.0,1.0,4105.474609375,34651.62392145673,107,2
19,680.0,551.0,1.0,4013.2978515625,34651.62392145673,108,1
19,727.0,1089.0,1.0,3832.1552734375,34651.62392145673,109,1
19,112.75,773.75,4.0,4105.474609375,138606.49568582693,110,1
19,16.0,933.0,1.0,3922.0390625,34651.62392145673,111,1
19,422.0,869.0,1.0,4013.2978515625,34651.62392145673,102,3
19,726.5,1131.0,2.0,4013.2978515625,69303.24784291346,99,3
20,423.0,869.5,4.0,4881.203125,138606.49568582693,102,3
20,782.0,1161.0,1.0,3921.7958984375,34651.62392145673,112,3
20,164.3,148.2,10.0,5188.4189453125,346516.23921456735,113,3
20,203.0,128.0,1.0,4013.16796875,34651.62392145673,107,2
20,84.0,916.0,1.0,3831.822265625,34651.62392145673,114,1
20,329.46666666666664,3.533333333333333,15.0,5945.0361328125,519774.35882185097,101,3
20,718.0,8.0,1.0,4013.16796875,34651.62392145673,115,2
20,547.0,747.0,1.0,4198.2431640625,34651.62392145673,116,3
20,1637.0,532.0,1.0,3831.822265625,34651.62392145673,117,1
20,748.25,513.75,8.0,4291.9462890625,277212.99137165386,118,1
21,266.0851063829787,1995.776595744681,94.0,5506.5126953125,3257252.648616933,119,3
21,296.0,1289.0,1.0,3921.6728515625,34651.62392145673,120,1
21,842.0,1204.0,1.0,3832.0849609375,34651.62392145673,121,3
21,779.0,1165.0,1.0,3832.0849609375,34651.62392145673,112,3
21,729.0,1132.0,1.0,3832.0849609375,34651.62392145673,122,1
21,71.0,923.5,2.0,4198.1669921875,69303.24784291346,123,1
21,548.0,747.5,2.0,4105.8505859375,69303.24784291346,116,3
21,12.0,185.0,1.0,3832.0849609375,34651.62392145673,124,1
21,177.0,64.5,2.0,4387.34765625,69303.24784291346,125,3
21,718.6666666666666,8.666666666666666,3.0,5084.9501953125,103954.8717643702,115,2
21,165.77777777777777,148.77777777777777,9.0,5188.6357421875,311864.6152931106,113,3
22,265.88421052631577,1995.4105263157894,95.0,5615.048828125,3291904.2725383895,119,3
22,165.6,148.6,10.0,5293.08984375,346516.23921456735,113,3
22,842.0,1205.5,2.0,4292.3359375,69303.24784291346,121,3
22,780.0,1166.0,1.0,4013.3046875,34651.62392145673,112,3
22,98.0,896.0,1.0,3831.755859375,34651.62392145673,126,1
22,1861.0,451.0,1.0,3921.6357421875,34651.62392145673,127,2
22,1691.25,467.375,8.0,4881.2509765625,277212.99137165386,128,2
22,657.5,507.125,32.0,4484.1689453125,1108851.9654866154,129,4
22,548.0,747.0,1.0,3831.755859375,34651.62392145673,116,3
22,176.75,64.0,4.0,5945.0556640625,138606.49568582693,125,3
22,205.33333333333334,127.66666666666667,9.0,8255.5556640625,311864.6152931106,130,1
22,1230.0,22.0,1.0,3831.755859375,34651.62392145673,131,1
23,930.5,1448.3333333333333,6.0,4881.234375,207909.7435287404,132,2
23,684.0,545.0,1.0,3921.998046875,34651.62392145673,133,3
23,657.0526315789474,507.9736842105263,38.0,4679.7802734375,1316761.709015356,129,4
23,1691.6666666666667,472.6666666666667,3.0,3921.998046875,103954.8717643702,128,2
23,1856.5,456.5,2.0,3831.99609375,69303.24784291346,127,2
23,106.4,457.06666666666666,15.0,5188.5439453125,519774.35882185097,134,1
23,265.01075268817203,1995.4301075268818,93.0,5506.580078125,3222601.024695476,119,3
23,94.0,914.0,1.0,3831.99609375,34651.62392145673,135,1
23,842.0,1204.0,1.0,3921.998046875,34651.62392145673,121,3
23,1633.0,560.0,1.0,4012.931640625,34651.62392145673,136,1
23,114.0,776.0,1.0,4012.931640625,34651.62392145673,137,2
23,717.6,8.8,5.0,5188.5439453125,173258.11960728368,138,5
23,351.0,6.0,1.0,3831.99609375,34651.62392145673,139,2
23,176.0,64.5,2.0,4981.9609375,69303.24784291346,125,3
24,684.0,545.0,1.0,3831.8525390625,34651.62392145673,133,3
24,931.0,1448.6,5.0,6399.8359375,173258.11960728368,132,2
24,114.0,776.0,1.0,4105.6669921875,34651.62392145673,137,2
24,351.5,3.5,4.0,4013.01953125,138606.49568582693,139,2
24,716.6666666666666,8.333333333333334,3.0,4484.052734375,103954.8717643702,138,5
24,749.0,514.3,10.0,4292.3369140625,346516.23921456735,140,1
24,656.4705882352941,508.2352941176471,34.0,4387.2783203125,1178155.213329529,129,4
24,1635.0,570.0,1.0,3831.8525390625,34651.62392145673,141,1
25,683.0,543.5,4.0,4105.73046875,138606.49568582693,133,3
25,1230.0,19.0,1.0,3831.99609375,34651.62392145673,142,2
25,716.5,7.5,2.0,5085.01953125,69303.24784291346,138,5
25,782.0,1176.0,1.0,3831.99609375,34651.62392145673,143,1
25,264.2551020408163,1994.4489795918366,98.0,5188.5439453125,3395859.14430276,144,2
25,841.0,1203.0,1.0,4198.0634765625,34651.62392145673,145,2
25,1859.0,451.5,2.0,4012.931640625,69303.24784291346,146,1
25,655.8823529411765,506.88235294117646,34.0,4387.392578125,1178155.213329529,129,4
