frame,x,y,area_px,intensity,area_km2,cluster_id,occurrences
15,1268.0,497.0,1.0,12189.59375,11079.550523452239,2,29
15,1111.6666666666667,875.3333333333334,3.0,12349.2998046875,33238.65157035671,33,4
16,1870.2727272727273,430.3636363636364,11.0,22348.779296875,121875.05575797462,34,2
16,1327.0,481.0,1.0,11714.42578125,11079.550523452239,2,29
16,1286.0,854.0,1.0,12029.791015625,11079.550523452239,35,5
16,107.0,859.0,1.0,14183.4853515625,11079.550523452239,36,4
16,1299.0,1051.0,1.0,11714.42578125,11079.550523452239,37,1
17,1871.6666666666667,431.3333333333333,3.0,16512.60546875,33238.65157035671,34,2
19,1350.2,1060.4,5.0,17455.802734375,55397.7526172612,38,11
20,1078.0,342.0,1.0,11557.556640625,11079.550523452239,39,18
21,1078.0,343.0,1.0,13001.2548828125,11079.550523452239,39,18
21,1570.0,835.5,2.0,12349.306640625,22159.101046904478,42,3
22,1078.6666666666667,343.3333333333333,3.0,18230.091796875,33238.65157035671,39,18
22,2002.5,487.5,2.0,15057.978515625,22159.101046904478,43,7
22,1620.0,722.0,1.0,11714.7744140625,11079.550523452239,44,26
22,400.0,794.0,1.0,11403.419921875,11079.550523452239,45,6
22,791.0,809.0,1.0,11248.771484375,11079.550523452239,8,5
22,1570.0,835.0,1.0,14881.236328125,11079.550523452239,42,3
22,417.5,965.0,2.0,12029.724609375,22159.101046904478,46,27
23,1078.5,344.5,4.0,17265.1484375,44318.202093808955,39,18
23,1620.0,722.0,1.0,11871.33203125,11079.550523452239,44,26
23,1570.0,836.0,1.0,11248.888671875,11079.550523452239,42,3
23,416.75,965.25,4.0,18425.626953125,44318.202093808955,46,27
24,1078.0,344.0,1.0,12836.06640625,11079.550523452239,39,18
24,1620.0,722.0,1.0,11871.33203125,11079.550523452239,44,26
24,416.1666666666667,965.3333333333334,6.0,16512.728515625,66477.30314071343,46,27
25,1914.0,698.0,1.0,11248.853515625,11079.550523452239,47,7
25,415.0,965.5,6.0,17076.216796875,66477.30314071343,46,27
26,1283.5,485.0,2.0,13167.484375,22159.101046904478,2,29
26,1211.0,511.0,1.0,11871.33203125,11079.550523452239,2,29
26,1913.0,698.0,1.0,11714.42578125,11079.550523452239,47,7
26,1620.0,722.0,1.0,11248.888671875,11079.550523452239,44,26
26,415.2,965.6,5.0,15414.908203125,55397.7526172612,46,27
27,1534.0,569.0,1.0,11871.716796875,11079.550523452239,48,7
27,414.5,966.0,2.0,11557.4375,22159.101046904478,46,27
28,1081.0,346.0,1.0,12189.5126953125,11079.550523452239,39,18
28,1211.0,502.0,1.0,11557.556640625,11079.550523452239,2,29
28,1154.0,752.0,1.0,11096.17578125,11079.550523452239,49,24
28,22.0,1185.0,1.0,11403.419921875,11079.550523452239,31,19
29,1080.5,347.5,2.0,12349.2998046875,22159.101046904478,39,18
29,1283.4285714285713,488.42857142857144,7.0,13001.2939453125,77556.85366416567,2,29
29,1223.5,505.5,2.0,15777.2783203125,22159.101046904478,2,29
29,1103.5,738.0,4.0,11403.419921875,44318.202093808955,49,24
29,425.0,933.0,1.0,11871.478515625,11079.550523452239,46,27
30,1080.4,347.2,5.0,27126.806640625,55397.7526172612,39,18
30,1999.3333333333333,489.8333333333333,6.0,31075.763671875,66477.30314071343,43,7
31,1081.111111111111,346.44444444444446,9.0,24793.509765625,99715.95471107015,39,18
31,1999.1666666666667,489.0,6.0,26181.146484375,66477.30314071343,43,7
32,1081.0,345.5,10.0,30567.1171875,110795.5052345224,39,18
32,1999.5,488.5,4.0,22566.443359375,44318.202093808955,43,7
32,1105.5,733.0,4.0,13167.7607421875,44318.202093808955,49,24
32,1153.0,752.0,3.0,11871.478515625,33238.65157035671,49,24
32,398.6,788.2,5.0,11403.419921875,55397.7526172612,45,6
32,540.7222222222222,866.6666666666666,18.0,16143.6083984375,199431.9094221403,50,1
33,1080.6666666666667,344.55555555555554,9.0,25947.66796875,99715.95471107015,39,18
33,1999.5,488.5,4.0,19827.96484375,44318.202093808955,43,7
33,816.5,755.0,6.0,15057.978515625,66477.30314071343,51,3
34,1080.0,343.5,2.0,17076.2734375,22159.101046904478,39,18
34,1939.2,467.8,5.0,18821.552734375,55397.7526172612,3,25
34,1998.6666666666667,489.3333333333333,3.0,19623.734375,33238.65157035671,43,7
35,1939.6666666666667,468.3333333333333,3.0,13670.923828125,33238.65157035671,3,25
35,1096.5,738.0,2.0,12673.72265625,22159.101046904478,49,24
35,1114.5,874.0,2.0,12510.111328125,22159.101046904478,33,4
36,1247.0,507.0,1.0,12189.396484375,11079.550523452239,2,29
36,1158.3333333333333,1098.3333333333333,3.0,12029.716796875,33238.65157035671,52,4
37,1164.2666666666667,752.4,15.0,25252.416015625,166193.2578517836,49,24
37,408.0,811.0,1.0,11403.517578125,11079.550523452239,45,6
38,1998.0,489.0,1.0,14529.333984375,11079.550523452239,43,7
38,1095.0,739.0,1.0,11714.65234375,11079.550523452239,49,24
38,1170.8,750.0,10.0,22349.16796875,110795.5052345224,49,24
38,400.0,794.0,1.0,11403.0703125,11079.550523452239,45,6
39,1693.0,387.5,2.0,13167.66015625,22159.101046904478,53,2
39,1344.0,470.0,1.0,11403.0703125,11079.550523452239,2,29
40,1693.6666666666667,387.3333333333333,3.0,14010.4521484375,33238.65157035671,53,2
40,1344.5,469.0,2.0,13334.005859375,22159.101046904478,2,29
40,1099.0,737.0,3.0,11714.42578125,33238.65157035671,49,24
41,1109.5,736.0,6.0,16886.818359375,66477.30314071343,49,24
42,1110.0,736.0,1.0,11248.908203125,11079.550523452239,49,24
43,1305.0,488.0,1.0,11714.3955078125,11079.550523452239,2,29
43,1113.5,736.0,8.0,15414.771484375,88636.40418761791,49,24
44,1115.5,879.0,2.0,12673.6572265625,22159.101046904478,33,4
46,1886.0,471.0,1.0,11096.263671875,11079.550523452239,3,25
46,1342.4,473.2,5.0,15414.771484375,55397.7526172612,2,29
47,1123.0,200.5,2.0,12673.865234375,22159.101046904478,54,3
47,1344.0,471.3333333333333,3.0,15058.26171875,33238.65157035671,2,29
47,1616.3333333333333,717.6666666666666,3.0,11403.0283203125,33238.65157035671,44,26
48,1123.0,199.0,1.0,12349.3173828125,11079.550523452239,54,3
48,1617.25,718.0,4.0,11248.908203125,44318.202093808955,44,26
49,1340.0,463.0,1.0,11403.51953125,11079.550523452239,2,29
49,1617.75,718.0,4.0,11248.748046875,44318.202093808955,44,26
50,943.5,417.5,4.0,13501.802734375,44318.202093808955,56,2
50,1618.0,718.5,4.0,11871.701171875,44318.202093808955,44,26
51,1618.0,719.5,6.0,11714.2880859375,66477.30314071343,44,26
51,1292.0,810.0,1.0,11714.2880859375,11079.550523452239,35,5
52,1289.0,490.0,1.0,11871.701171875,11079.550523452239,2,29
52,1617.8333333333333,720.1666666666666,6.0,11403.0283203125,66477.30314071343,44,26
52,1153.0,745.6666666666666,3.0,11557.6748046875,33238.65157035671,49,24
52,500.0,1061.0,1.0,12030.0302734375,11079.550523452239,57,14
53,956.5,442.0,2.0,11557.556640625,22159.101046904478,56,2
53,1204.0,524.0,1.0,11403.0703125,11079.550523452239,2,29
53,1095.5,733.0,4.0,11557.556640625,44318.202093808955,49,24
53,1113.6,877.2,5.0,13001.169921875,55397.7526172612,33,4
53,500.0,1061.0,1.0,11096.1845703125,11079.550523452239,57,14
55,1926.0,480.0,1.0,12189.4365234375,11079.550523452239,3,25
55,1618.3333333333333,720.8333333333334,6.0,11403.48828125,66477.30314071343,44,26
55,1292.0,765.0,1.0,11248.82421875,11079.550523452239,58,1
55,368.0,940.0,1.0,11248.82421875,11079.550523452239,46,27
55,497.0,1072.0,1.0,11714.3955078125,11079.550523452239,57,14
56,1925.8,480.4,5.0,17840.84765625,55397.7526172612,3,25
56,446.5,531.5,2.0,10943.296875,22159.101046904478,59,21
56,1618.8333333333333,721.8333333333334,6.0,11557.6748046875,66477.30314071343,44,26
56,368.0,940.0,3.0,13167.787109375,33238.65157035671,46,27
57,447.0,532.0,1.0,10792.953125,11079.550523452239,59,21
57,1078.5,705.0,4.0,11714.65234375,44318.202093808955,60,7
57,1619.1666666666667,722.0,6.0,11403.0703125,66477.30314071343,44,26
57,824.0,757.5,4.0,12673.9296875,44318.202093808955,51,3
57,367.0,940.0,3.0,11871.748046875,33238.65157035671,46,27
57,759.0,1216.0,1.0,10943.263671875,11079.550523452239,61,1
57,907.0,1228.0,1.0,11557.556640625,11079.550523452239,62,2
58,1868.0,751.0,1.0,10792.974609375,11079.550523452239,63,5
59,1618.6666666666667,722.3333333333334,3.0,11403.515625,33238.65157035671,44,26
59,1868.0,751.0,1.0,10792.8046875,11079.550523452239,63,5
59,835.0,975.0,1.0,10792.8046875,11079.550523452239,64,1
60,603.0,965.0,1.0,10793.033203125,11079.550523452239,65,10
60,910.5,1227.0,8.0,18821.65234375,88636.40418761791,62,2
61,443.0,528.0,1.0,10792.5859375,11079.550523452239,59,21
61,897.5,681.0,2.0,13001.2548828125,22159.101046904478,30,6
61,1079.2307692307693,704.8461538461538,13.0,17076.052734375,144034.1568048791,60,7
61,603.0,965.0,1.0,10792.5859375,11079.550523452239,65,10
62,449.0,534.0,1.0,10792.5859375,11079.550523452239,59,21
62,1080.6153846153845,705.6923076923077,13.0,13167.427734375,144034.1568048791,60,7
62,604.0,965.5,2.0,14183.3232421875,22159.101046904478,65,10
63,447.0,531.5,2.0,10942.927734375,22159.101046904478,59,21
63,714.5,627.0,6.0,13670.6669921875,66477.30314071343,29,6
63,1080.1666666666667,705.5833333333334,12.0,12673.9345703125,132954.60628142685,60,7
63,803.5,721.0,2.0,11871.390625,22159.101046904478,66,4
64,714.8181818181819,626.7272727272727,11.0,14529.51171875,121875.05575797462,29,6
64,1082.0,706.0,3.0,11557.5078125,33238.65157035671,60,7
64,1616.3333333333333,717.6666666666666,3.0,11249.021484375,33238.65157035671,44,26
64,816.5,719.0,6.0,13501.7255859375,66477.30314071343,66,4
64,825.5,758.0,2.0,11249.021484375,22159.101046904478,51,3
64,603.3333333333334,966.3333333333334,3.0,11096.0322265625,33238.65157035671,65,10
65,1080.0,706.0,1.0,10943.263671875,11079.550523452239,60,7
65,1616.0,718.0,1.0,10792.546875,11079.550523452239,44,26
66,1616.0,716.0,1.0,10792.736328125,11079.550523452239,44,26
67,1079.0,704.0,1.0,10792.65234375,11079.550523452239,60,7
67,1617.0,716.0,1.0,10943.0,11079.550523452239,44,26
67,1864.0,751.0,1.0,10792.65234375,11079.550523452239,63,5
67,1292.0,811.0,1.0,10792.65234375,11079.550523452239,35,5
68,446.0,529.5,2.0,10642.54296875,22159.101046904478,59,21
68,1616.0,715.0,1.0,10642.54296875,11079.550523452239,44,26
68,1864.0,752.0,1.0,10642.54296875,11079.550523452239,63,5
68,1132.4333333333334,1083.2833333333333,60.0,16698.791015625,664773.0314071344,52,4
69,833.5,728.0,4.0,11096.154296875,44318.202093808955,66,4
