event_id,n_detections,frame_start,frame_end,lifetime_seconds,lifetime_frames,x_centroid,y_centroid,x_std,y_std,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width_px,bbox_height_px,peak_intensity,mean_intensity,total_area_Mm2,mean_area_Mm2,total_area_km2,mean_area_km2,cluster_id
65,69,0,28,290.0,29,1232.4971966037183,1752.038753476797,6.347071454367045,8.336383262357884,1218.0,1737.0,1246.5,1764.5,29.5,28.5,802.1884765625,774.9977779664855,2.077392896661242,0.03010714342987307,2077392.8966612418,30107.14342987307,92
66,1,0,0,10.0,1,79.0,1908.0,0.0,0.0,79.0,1908.0,79.0,1908.0,1.0,1.0,768.7412109375,768.7412109375,0.01236437634931291,0.01236437634931291,12364.37634931291,12364.37634931291,95
67,1,0,0,10.0,1,628.0,1912.0,0.0,0.0,628.0,1912.0,628.0,1912.0,1.0,1.0,768.7412109375,768.7412109375,0.01236437634931291,0.01236437634931291,12364.37634931291,12364.37634931291,96
68,1,0,0,10.0,1,1211.0,1921.0,0.0,0.0,1211.0,1921.0,1211.0,1921.0,1.0,1.0,768.7412109375,768.7412109375,0.01236437634931291,0.01236437634931291,12364.37634931291,12364.37634931291,97
69,43,0,22,230.0,23,66.74478347030366,1930.6007630510383,7.390465225863295,6.236718788741907,49.0,1923.0,85.0,1942.75,37.0,20.75,802.141357421875,773.3682492278343,1.9784599953083415,0.04601069756531027,1978459.9953083415,46010.69756531026,98
70,17,0,14,150.0,15,1163.4012466205963,1931.769839362564,2.0409456004569035,4.8078951103334235,1158.888888888889,1927.7,1166.0,1943.5,8.111111111111086,16.799999999999955,2912.04931640625,1460.2888973460479,2.62131805095142,0.1541951794677306,2621318.05095142,154195.1794677306,99
71,76,0,20,210.0,21,875.1720342522973,1951.122976712615,15.189707455145657,5.8847941475803065,846.0,1941.0,898.0,1967.0,53.0,27.0,1017.615234375,785.2482203433389,3.6600684076703875,0.048158794837768255,3660068.4076703875,48158.794837768255,100
72,7,0,6,70.0,7,635.3014842300556,1949.2597402597403,0.7740541230115195,3.16365075807614,634.0,1943.0,636.1818181818181,1954.0,3.18181818181813,12.0,836.271240234375,792.6917898995536,0.4822184844388082,0.06888835491982974,482218.4844388082,68888.35491982974,102
73,1,0,0,10.0,1,838.0,1954.0,0.0,0.0,838.0,1954.0,838.0,1954.0,1.0,1.0,768.7412109375,768.7412109375,0.01236437634931291,0.01236437634931291,12364.37634931291,12364.37634931291,103
74,1,0,0,10.0,1,136.0,1967.0,0.0,0.0,136.0,1967.0,136.0,1967.0,1.0,1.0,768.7412109375,768.7412109375,0.01236437634931291,0.01236437634931291,12364.37634931291,12364.37634931291,104
75,1,0,0,10.0,1,786.0,2001.125,0.0,0.0,786.0,2001.125,786.0,2001.125,1.0,1.0,802.12890625,802.12890625,0.09891501079450328,0.09891501079450328,98915.01079450328,98915.01079450328,105
76,1,0,0,10.0,1,960.0,1999.0,0.0,0.0,960.0,1999.0,960.0,1999.0,1.0,1.0,768.7412109375,768.7412109375,0.01236437634931291,0.01236437634931291,12364.37634931291,12364.37634931291,106
77,8,0,10,110.0,11,353.44444444444446,2010.875,2.3908260879277794,1.5562374497485916,350.0,2008.0,358.0,2013.0,9.0,6.0,768.806640625,768.7256927490234,0.17310552728256157,0.021638190910320196,173105.52728256155,21638.190910320194,107
78,1,0,0,10.0,1,750.0,2044.0,0.0,0.0,750.0,2044.0,750.0,2044.0,1.0,1.0,836.3115234375,836.3115234375,0.02472875269862582,0.02472875269862582,24728.75269862582,24728.75269862582,108
11,6,0,7,80.0,8,866.9499999999999,322.15000000000003,2.362025966552155,1.8246004128758364,863.0,320.5,870.0,326.0,8.0,6.5,871.18701171875,813.8941650390625,0.18546954878514776,0.030911591464191295,185469.54878514775,30911.591464191297,19
10,15,0,16,170.0,17,426.7888888888889,228.6888888888889,3.829934080598305,5.555733330488982,419.0,218.0,432.5,237.33333333333334,14.5,20.333333333333343,871.064697265625,775.5336181640625,0.2225677174242082,0.014837847828280546,222567.71742420818,14837.847828280546,17
58,2,0,3,40.0,4,1027.5,1646.0,0.5,0.0,1027.0,1646.0,1028.0,1646.0,2.0,1.0,768.7412109375,768.707275390625,0.0247289656110289,0.01236448280551445,24728.9656110289,12364.48280551445,83
57,1,0,0,10.0,1,1497.0,1515.0,0.0,0.0,1497.0,1515.0,1497.0,1515.0,1.0,1.0,802.12890625,802.12890625,0.01236437634931291,0.01236437634931291,12364.37634931291,12364.37634931291,82
56,17,0,12,130.0,13,1003.5808823529412,1510.3058823529411,2.236487684435072,5.477941329999562,999.0,1496.0,1006.75,1520.0,8.75,25.0,836.30419921875,786.469877355239,0.6924270777035365,0.040731004570796266,692427.0777035365,40731.00457079626,81
7,30,0,10,110.0,11,169.26480307322984,173.08002674670868,3.8516856097240573,7.4172459954280745,160.0,160.0,176.0,186.0,17.0,27.0,1017.5595703125,823.1352498372396,3.8082822799652005,0.12694274266550667,3808282.2799652005,126942.74266550668,11
6,25,0,21,220.0,22,418.42627435527436,131.20716237466237,1.7279951532200344,2.8870196579020244,415.5,126.0,421.875,136.14285714285714,7.375,11.142857142857139,1017.61181640625,832.55884765625,2.250404505814066,0.09001618023256264,2250404.5058140657,90016.18023256263,10
5,3,0,4,50.0,5,407.13888888888886,110.88888888888887,0.6538112386633372,0.7973722274670764,406.41666666666663,110.16666666666666,408.0,112.0,2.5833333333333712,2.833333333333343,836.271240234375,791.2285970052084,0.13601083675995623,0.04533694558665208,136010.83675995623,45336.94558665208,9
4,16,0,9,100.0,10,725.4556277056276,81.7943722943723,2.9120751312205333,6.748886781210798,719.3333333333334,69.0,732.0,92.5,13.666666666666629,24.5,871.0908203125,804.6598358154297,0.853158930504714,0.05332243315654463,853158.930504714,53322.43315654463,8
3,3,0,3,40.0,4,259.6666666666667,69.33333333333333,1.247219128924647,0.9428090415820634,258.0,68.0,261.0,70.0,4.0,3.0,768.806640625,768.7403971354166,0.03709348389985458,0.01236449463328486,37093.48389985458,12364.494633284861,5
2,1,0,0,10.0,1,904.0,44.0,0.0,0.0,904.0,44.0,904.0,44.0,1.0,1.0,768.7412109375,768.7412109375,0.01236437634931291,0.01236437634931291,12364.37634931291,12364.37634931291,3
1,1,0,0,10.0,1,463.0,13.0,0.0,0.0,463.0,13.0,463.0,13.0,1.0,1.0,768.7412109375,768.7412109375,0.01236437634931291,0.01236437634931291,12364.37634931291,12364.37634931291,1
64,2,0,1,20.0,2,378.25,1749.5,0.75,0.5,377.5,1749.0,379.0,1750.0,2.5,2.0,871.18701171875,819.964111328125,0.06182216561736859,0.030911082808684296,61822.16561736859,30911.082808684296,91
63,2,0,1,20.0,2,374.4807692307692,1733.548076923077,0.019230769230773603,0.2980769230769056,374.46153846153845,1733.25,374.5,1733.8461538461538,1.0384615384615472,1.5961538461538112,836.3564453125,836.333984375,0.2596524710771792,0.1298262355385896,259652.47107717922,129826.23553858961,90
62,16,0,16,170.0,17,1533.898511904762,1708.0404761904763,2.1081116408611846,2.8626682683315594,1529.0,1705.0,1536.3,1716.0,8.299999999999955,12.0,1525.312255859375,941.6479034423828,1.3477683370841467,0.08423552106775917,1347768.3370841467,84235.52106775917,89
61,1,0,0,10.0,1,41.375,1710.875,0.0,0.0,41.375,1710.875,41.375,1710.875,1.0,1.0,768.7412109375,768.7412109375,0.09891501079450328,0.09891501079450328,98915.01079450328,98915.01079450328,88
60,1,0,0,10.0,1,0.0,1684.0,0.0,0.0,0.0,1684.0,0.0,1684.0,1.0,1.0,768.7412109375,768.7412109375,0.01236437634931291,0.01236437634931291,12364.37634931291,12364.37634931291,86
59,14,0,13,140.0,14,1.9697570947570946,1674.7379900192402,1.6041410551989963,8.71404844299177,0.0,1660.0,7.0,1686.0,8.0,27.0,906.69482421875,802.7438180106027,1.2364888790540143,0.08832063421814387,1236488.8790540143,88320.63421814387,84
41,3,0,2,30.0,3,349.147619047619,1248.6936507936507,0.9640005457229648,0.35601585850795636,347.8,1248.2142857142858,350.0,1249.0666666666666,3.1999999999999886,1.8523809523808268,979.998046875,896.2532552083334,0.3462038152199334,0.11540127173997779,346203.8152199334,115401.27173997779,60
42,1,0,0,10.0,1,1729.0,1247.6666666666667,0.0,0.0,1729.0,1247.6666666666667,1729.0,1247.6666666666667,1.0,1.0,906.66455078125,906.66455078125,0.03709312904793873,0.03709312904793873,37093.12904793873,37093.12904793873,61
43,63,0,28,290.0,29,730.1607633588694,1305.8019899127994,3.141594212717262,9.571845459011186,719.0,1289.0,734.0,1324.0,16.0,36.0,1525.369873046875,900.5294034443205,9.916766678865654,0.15740899490262944,9916766.678865654,157408.99490262943,64
44,4,0,3,40.0,4,560.9049107142857,1308.4901785714287,0.5601757180923719,0.8325542169940944,560.0625,1307.375,561.5714285714286,1309.3,2.508928571428555,2.9249999999999545,1388.73828125,1221.4777221679688,0.5811304433845468,0.1452826108461367,581130.4433845468,145282.6108461367,65
45,8,0,4,50.0,5,744.5381944444443,1321.5871527777779,3.598167440701872,8.30208364555743,738.0,1313.625,749.1055555555555,1337.1666666666667,12.105555555555497,24.541666666666742,942.980224609375,828.8953247070312,0.7542336994583363,0.09427921243229204,754233.6994583363,94279.21243229204,67
46,50,0,38,390.0,39,706.7346443426542,1328.766059957483,2.097693256203547,4.877993539192322,702.0,1318.0,710.0,1338.0,9.0,21.0,802.20166015625,780.0724096679687,3.8951655659746343,0.07790331131949269,3895165.565974634,77903.31131949268,68
40,1,0,0,10.0,1,363.0,1239.5,0.0,0.0,363.0,1239.5,363.0,1239.5,1.0,1.0,768.7412109375,768.7412109375,0.02472875269862582,0.02472875269862582,24728.75269862582,24728.75269862582,59
