frame,x,y,area_px,intensity,area_km2,cluster_id,occurrences
0,333.6666666666667,0.3333333333333333,3.0,4679.8115234375,103954.8717643702,0,27
0,1725.5714285714287,394.42857142857144,7.0,5084.92578125,242561.3674501971,5,29
0,1355.3333333333333,724.1111111111111,9.0,5945.0361328125,311864.6152931106,8,11
0,850.5,911.5,2.0,3921.7958984375,69303.24784291346,9,3
0,62.5,1003.5,2.0,3831.822265625,69303.24784291346,10,17
0,31.428571428571427,1292.6571428571428,70.0,15595.990234375,2425613.6745019713,12,16
1,333.6,0.8,5.0,6056.455078125,173258.11960728368,0,27
1,852.0,911.0,3.0,7113.76123046875,103954.8717643702,9,3
1,62.25,1003.75,4.0,4013.16796875,138606.49568582693,10,17
1,1013.0,1007.5,2.0,3831.822265625,69303.24784291346,16,3
1,31.37837837837838,1292.4324324324325,74.0,13839.8720703125,2564220.1701877983,12,16
2,333.1111111111111,1.7777777777777777,9.0,9341.0048828125,311864.6152931106,0,27
2,851.5,911.0,2.0,4679.734375,69303.24784291346,9,3
2,1012.0,1008.5,2.0,4484.1240234375,69303.24784291346,16,3
2,31.126984126984127,1288.5238095238096,63.0,18230.00390625,2183052.307051774,12,16
3,332.8,1.3,10.0,8255.447265625,346516.23921456735,0,27
3,30.369565217391305,1289.1521739130435,46.0,16327.43359375,1593974.7003870097,12,16
4,1121.0,6.0,3.0,5085.0625,103954.8717643702,19,19
4,750.5,6.0,2.0,4679.734375,69303.24784291346,20,13
4,1550.0,247.0,1.0,4679.734375,34651.62392145673,21,1
4,30.365853658536587,1285.1951219512196,41.0,18035.333984375,1420716.580779726,12,16
5,331.42857142857144,1.2857142857142858,7.0,5833.9404296875,242561.3674501971,0,27
5,751.0,3.0,1.0,3832.0849609375,34651.62392145673,20,13
5,1121.0,5.0,3.0,5506.5126953125,103954.8717643702,19,19
5,57.0,1002.0,1.0,3832.0849609375,34651.62392145673,10,17
5,29.511111111111113,1286.0444444444445,45.0,16143.357421875,1559323.076465553,12,16
6,1119.4,6.2,5.0,5084.9111328125,173258.11960728368,19,19
6,1723.0,389.0,1.0,3831.9814453125,34651.62392145673,5,29
6,1419.0,684.0,1.0,3831.9814453125,34651.62392145673,26,26
6,27.210526315789473,1287.9473684210527,38.0,12836.08203125,1316761.709015356,12,16
7,331.6666666666667,1.3333333333333333,9.0,8255.6376953125,311864.6152931106,0,27
7,1120.5,8.5,6.0,5292.9287109375,207909.7435287404,19,19
7,1728.0,379.5,2.0,4484.16015625,69303.24784291346,5,29
7,1748.6666666666667,415.3333333333333,3.0,6399.9560546875,103954.8717643702,5,29
7,27.8,1290.6857142857143,35.0,10493.73828125,1212806.8372509857,12,16
8,57.0,1010.0,1.0,3832.05810546875,34651.62392145673,10,17
8,29.38888888888889,1289.5,36.0,14881.0908203125,1247458.4611724424,12,16
9,695.0,54.0,1.0,4013.0947265625,34651.62392145673,30,12
9,29.966666666666665,1292.1666666666667,30.0,13501.8408203125,1039548.7176437019,12,16
10,695.0,53.0,1.0,4198.22119140625,34651.62392145673,30,12
10,86.0,188.5,2.0,4292.27099609375,69303.24784291346,32,13
10,30.137931034482758,1292.6206896551723,29.0,12349.126953125,1004897.0937222452,12,16
11,86.0,188.5,2.0,3921.9345703125,69303.24784291346,32,13
11,1446.6666666666667,714.6666666666666,3.0,4012.9140625,103954.8717643702,26,26
11,58.0,1006.0,1.0,3921.9345703125,34651.62392145673,10,17
11,30.033333333333335,1292.7,30.0,7993.86767578125,1039548.7176437019,12,16
12,1650.0,504.0,1.0,3832.0849609375,34651.62392145673,34,6
12,1447.25,715.25,8.0,6870.7939453125,277212.99137165386,26,26
12,29.771428571428572,1292.5714285714287,35.0,11403.390625,1212806.8372509857,12,16
13,351.3333333333333,4.5,6.0,4198.181640625,207909.7435287404,0,27
13,1644.0,510.0,1.0,3832.06298828125,34651.62392145673,34,6
13,1446.8333333333333,714.8333333333334,6.0,6056.52587890625,207909.7435287404,26,26
13,28.914285714285715,1293.942857142857,35.0,9765.1904296875,1212806.8372509857,12,16
14,289.0,876.0,1.0,3832.0341796875,34651.62392145673,36,5
14,55.0,1007.0,1.0,3832.0341796875,34651.62392145673,10,17
14,28.733333333333334,1291.1,30.0,7113.814453125,1039548.7176437019,12,16
16,1120.0,6.0,1.0,4387.5068359375,34651.62392145673,19,19
16,175.0,63.0,1.0,4105.525390625,34651.62392145673,37,6
16,1469.0,375.0,3.0,5084.8955078125,103954.8717643702,38,9
16,59.0,1004.6666666666666,3.0,3921.6640625,103954.8717643702,10,17
16,27.72222222222222,1295.388888888889,18.0,6170.640625,623729.2305862212,12,16
17,695.0,57.0,1.0,3831.7880859375,34651.62392145673,30,12
17,59.0,1004.5,2.0,3831.7880859375,69303.24784291346,10,17
18,327.1666666666667,1.6666666666666667,6.0,5506.2470703125,207909.7435287404,0,27
18,173.0,61.5,2.0,4292.3193359375,69303.24784291346,37,6
18,1135.5,795.0,2.0,4105.8212890625,69303.24784291346,40,4
18,420.5,870.5,2.0,4013.294921875,69303.24784291346,41,3
19,328.46153846153845,2.769230769230769,13.0,7993.849609375,450471.11097893753,0,27
19,693.5,57.0,2.0,4292.1201171875,69303.24784291346,30,12
19,174.0,62.5,2.0,5615.1484375,69303.24784291346,37,6
19,292.0,665.0,1.0,4780.517578125,34651.62392145673,42,1
19,422.0,869.0,1.0,4013.2978515625,34651.62392145673,41,3
20,329.46666666666664,3.533333333333333,15.0,5945.0361328125,519774.35882185097,0,27
20,718.0,8.0,1.0,4013.16796875,34651.62392145673,20,13
20,1637.0,532.0,1.0,3831.822265625,34651.62392145673,34,6
20,423.0,869.5,4.0,4881.203125,138606.49568582693,41,3
21,718.6666666666666,8.666666666666666,3.0,5084.9501953125,103954.8717643702,20,13
21,177.0,64.5,2.0,4387.34765625,69303.24784291346,37,6
22,176.75,64.0,4.0,5945.0556640625,138606.49568582693,37,6
22,1691.25,467.375,8.0,4881.2509765625,277212.99137165386,43,5
23,351.0,6.0,1.0,3831.99609375,34651.62392145673,0,27
23,717.6,8.8,5.0,5188.5439453125,173258.11960728368,20,13
23,176.0,64.5,2.0,4981.9609375,69303.24784291346,37,6
23,1691.6666666666667,472.6666666666667,3.0,3921.998046875,103954.8717643702,43,5
23,1633.0,560.0,1.0,4012.931640625,34651.62392145673,34,6
23,930.5,1448.3333333333333,6.0,4881.234375,207909.7435287404,44,3
24,351.5,3.5,4.0,4013.01953125,138606.49568582693,0,27
24,716.6666666666666,8.333333333333334,3.0,4484.052734375,103954.8717643702,20,13
24,1635.0,570.0,1.0,3831.8525390625,34651.62392145673,34,6
24,931.0,1448.6,5.0,6399.8359375,173258.11960728368,44,3
25,716.5,7.5,2.0,5085.01953125,69303.24784291346,20,13
26,716.0,7.5,6.0,5615.2568359375,207909.7435287404,20,13
26,1833.0,502.0,1.0,3831.7880859375,34651.62392145673,45,17
26,1635.0,573.0,1.0,3831.7880859375,34651.62392145673,34,6
27,716.0,6.5,2.0,4387.5771484375,69303.24784291346,20,13
27,1920.096,301.24,125.0,4679.9267578125,4331452.9901820915,46,7
27,925.0,1447.0,1.0,4582.0107421875,34651.62392145673,44,3
29,53.0,1005.0,1.0,3831.8720703125,34651.62392145673,10,17
30,1714.3415300546449,419.9553734061931,1098.0,29563.373046875,38047483.065759495,5,29
32,1879.0,488.0,1.0,4013.1767578125,34651.62392145673,48,7
32,1834.6666666666667,503.0,3.0,3921.9658203125,103954.8717643702,45,17
32,1324.0,1336.0,1.0,4198.41796875,34651.62392145673,49,3
33,738.5,13.0,2.0,4105.5986328125,69303.24784291346,20,13
34,1920.9072847682119,304.682119205298,151.0,6515.2470703125,5232395.212139967,46,7
34,916.0,909.5,2.0,4198.0634765625,69303.24784291346,50,2
