event_id,n_detections,frame_start,frame_end,lifetime_frames,lifetime_seconds,x_centroid,y_centroid,x_std,y_std,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width_px,bbox_height_px,peak_intensity,mean_intensity,total_area_Mm2,mean_area_Mm2,total_area_km2,mean_area_km2,original_cluster_id
1,15,0,11,12,120.0,343.8614814814815,98.60148148148147,5.163043519218518,5.263429019946121,336.0,93.0,349.6666666666667,109.0,14.666666666666686,17.0,1344.284912109375,1327.0902587890625,1.3363534078782244,0.08909022719188163,1336353.4078782245,89090.22719188163,0
2,33,0,19,20,200.0,692.83658008658,111.68282828282828,12.475615779618433,2.4418230371843057,671.4,107.0,704.6666666666666,118.25,34.26666666666665,12.25,1355.0693359375,1334.679169625947,4.795114968587483,0.1453065141996207,4795114.968587483,145306.5141996207,1
3,20,0,18,19,190.0,255.67089285714286,168.05897817460317,3.9028493515015263,2.0272033721077607,239.0,164.5,257.6,174.0,19.600000000000023,10.5,1323.8822021484375,1313.2512939453125,4.952350421574029,0.24761752107870144,4952350.421574029,247617.52107870145,2
4,21,0,20,21,210.0,1550.855747955748,287.50491307634167,1.3456602671540079,1.94856245183431,1548.0,284.1666666666667,1553.0,291.0,6.0,7.833333333333314,1333.1536865234375,1327.7825404575892,5.345391533178715,0.2545424539608912,5345391.533178715,254542.4539608912,3
5,10,0,9,10,100.0,214.34305555555557,375.1569444444445,0.4698490202733744,1.6341037723746006,213.33333333333334,373.0,215.0,378.6666666666667,2.666666666666657,6.666666666666686,1312.744384765625,1308.930859375,1.4149631213810023,0.14149631213810024,1414963.1213810022,141496.31213810024,4
6,14,0,13,14,140.0,1564.1559948979593,388.7481717687075,1.2324546186208,1.9752462637586707,1561.75,384.5625,1566.0,392.0,5.25,8.4375,1329.609619140625,1324.4403424944196,4.00905565029019,0.2863611178778707,4009055.65029019,286361.11787787074,5
7,6,0,5,6,60.0,633.2986111111111,542.3125000000001,0.8885904446903855,2.3579738143709723,631.75,539.25,634.5,546.25,3.75,8.0,1337.9183349609375,1328.1320393880208,1.1005288792605477,0.18342147987675794,1100528.8792605477,183421.47987675795,6
8,3,0,2,3,30.0,1225.0,670.6666666666666,0.7071067811865476,1.699673171197595,1224.5,669.0,1226.0,673.0,2.5,5.0,1325.490478515625,1317.7146809895833,0.19652316926068736,0.06550772308689579,196523.16926068737,65507.723086895785,7
9,8,0,7,8,80.0,2020.7706232492997,794.9005952380953,0.626429701023951,1.4232668130753972,2019.5714285714287,792.8666666666667,2021.4666666666667,797.6428571428571,2.895238095238028,5.776190476190436,1335.436767578125,1327.3031158447266,3.1443659808369477,0.39304574760461847,3144365.980836948,393045.7476046185,8
10,3,0,2,3,30.0,1981.3333333333333,1109.4444444444446,0.9428090415820634,4.365973934308497,1980.0,1104.3333333333335,1982.0,1115.0,3.0,11.666666666666515,1327.9483642578125,1319.44921875,0.27513226784900485,0.09171075594966828,275132.2678490048,91710.75594966828,9
