frame,x,y,area_px,intensity,area_km2,cluster_id,occurrences
7,1167.0,946.0,3.0,5085.3037109375,103954.8717643702,117,8
8,25.666666666666668,187.33333333333334,3.0,3832.05810546875,103954.8717643702,128,5
8,1702.0,325.3333333333333,3.0,4198.34326171875,103954.8717643702,129,3
9,1703.2222222222222,326.3333333333333,9.0,4680.08984375,311864.6152931106,129,3
10,1706.0,324.5,4.0,4013.06982421875,138606.49568582693,129,3
10,1264.3333333333333,825.6666666666666,3.0,3831.85107421875,103954.8717643702,131,6
10,1819.0,2028.0,3.0,5293.06982421875,103954.8717643702,74,18
11,1446.6666666666667,714.6666666666666,3.0,4012.9140625,103954.8717643702,133,3
12,350.8,7.0,5.0,4387.34765625,173258.11960728368,138,5
12,1121.75,7.0,4.0,5945.3564453125,138606.49568582693,3,24
12,1447.25,715.25,8.0,6870.7939453125,277212.99137165386,133,3
13,351.3333333333333,4.5,6.0,4198.181640625,207909.7435287404,138,5
13,1121.5,7.0,4.0,4582.02099609375,138606.49568582693,3,24
13,1446.8333333333333,714.8333333333334,6.0,6056.52587890625,207909.7435287404,133,3
13,1311.6666666666667,802.3333333333334,3.0,6991.716796875,103954.8717643702,142,1
14,331.25,0.75,4.0,5833.94287109375,138606.49568582693,0,13
14,22.666666666666668,181.0,3.0,4387.298828125,103954.8717643702,147,2
15,350.5,3.5,8.0,4880.9814453125,277212.99137165386,138,5
15,1120.0,5.5,4.0,4981.830078125,138606.49568582693,3,24
15,22.0,181.0,3.0,4198.4169921875,103954.8717643702,147,2
15,30.666666666666668,191.0,3.0,3921.9990234375,103954.8717643702,152,2
15,29.0,1285.0,3.0,4291.931640625,103954.8717643702,155,1
16,330.3333333333333,1.1666666666666667,6.0,5614.9296875,207909.7435287404,0,13
16,337.0,0.0,3.0,5293.05859375,103954.8717643702,0,13
16,350.0,5.5,4.0,4780.447265625,138606.49568582693,138,5
16,31.0,190.66666666666666,3.0,4012.90625,103954.8717643702,152,2
16,1469.0,375.0,3.0,5084.8955078125,103954.8717643702,157,1
17,330.2857142857143,1.5714285714285714,7.0,5833.935546875,242561.3674501971,0,13
17,28.0,1297.0,3.0,4013.1650390625,103954.8717643702,163,1
18,327.1666666666667,1.6666666666666667,6.0,5506.2470703125,207909.7435287404,0,13
20,423.0,869.5,4.0,4881.203125,138606.49568582693,176,1
21,331.0,1.0,3.0,4292.302734375,103954.8717643702,0,13
21,718.6666666666666,8.666666666666666,3.0,5084.9501953125,103954.8717643702,178,4
21,1633.7142857142858,552.2857142857143,7.0,4013.080078125,242561.3674501971,181,1
22,1120.25,3.5,8.0,6056.400390625,277212.99137165386,3,24
22,176.75,64.0,4.0,5945.0556640625,138606.49568582693,182,1
22,1691.25,467.375,8.0,4881.2509765625,277212.99137165386,183,1
