frame,x,y,area_px,intensity,area_km2,cluster_id,occurrences
1,1470.6666666666667,710.6666666666666,3.0,3395.939453125,103954.8717643702,115,1
1,895.8,714.8,5.0,3067.279296875,173258.11960728368,116,10
1,1301.6666666666667,729.6666666666666,3.0,2988.02734375,103954.8717643702,117,22
1,1148.0,836.6666666666666,3.0,3067.279296875,103954.8717643702,124,12
1,1371.0,855.6666666666666,3.0,2908.7763671875,103954.8717643702,125,12
1,1058.3333333333333,889.6666666666666,3.0,3067.279296875,103954.8717643702,127,2
1,956.5,899.5,4.0,2988.02734375,138606.49568582693,128,2
1,300.3333333333333,1297.6666666666667,3.0,3067.279296875,103954.8717643702,132,11
2,704.0,59.5,4.0,2987.890625,138606.49568582693,133,1
2,144.5,93.0,4.0,3229.58203125,138606.49568582693,13,3
2,1508.0,189.33333333333334,3.0,2987.890625,103954.8717643702,137,2
2,1711.3333333333333,245.66666666666666,3.0,2830.837890625,103954.8717643702,138,1
2,1591.1666666666667,285.1666666666667,6.0,3229.58203125,207909.7435287404,28,18
2,1570.6,330.2,5.0,2987.890625,173258.11960728368,31,5
2,702.3333333333334,567.0,3.0,2987.890625,103954.8717643702,109,23
2,650.3333333333334,580.6666666666666,3.0,2908.8935546875,103954.8717643702,140,2
2,627.3333333333334,619.0,3.0,3067.357421875,103954.8717643702,111,3
2,1.0,673.6666666666666,3.0,2908.8935546875,103954.8717643702,51,18
2,895.0,714.6666666666666,6.0,3067.357421875,207909.7435287404,116,10
2,912.6666666666666,720.3333333333334,3.0,2908.8935546875,103954.8717643702,144,2
2,1408.5,725.5,4.0,3654.6591796875,138606.49568582693,145,3
2,129.0,767.5,4.0,3147.7646484375,138606.49568582693,147,1
2,1147.1666666666667,836.3333333333334,6.0,3229.58203125,207909.7435287404,124,12
2,852.0,911.0,3.0,4679.734375,103954.8717643702,82,2
2,70.33333333333333,951.3333333333334,3.0,3067.357421875,103954.8717643702,151,18
2,35.5,1262.5,4.0,3229.58203125,138606.49568582693,152,1
3,338.0,6.0,3.0,3312.4921875,103954.8717643702,154,1
