event_id,n_detections,frame_start,frame_end,total_lifetime_frames,total_lifetime_seconds,active_frames,active_seconds,duty_cycle,x_centroid,y_centroid,x_std,y_std,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width_px,bbox_height_px,peak_intensity,mean_intensity,total_area_Mm2,mean_detection_area_Mm2,total_area_km2,mean_detection_area_km2,original_cluster_id
1,41,0,44,45,225.0,41,205.0,0.9111111111111111,973.9179932872006,43.77708758044124,3.4803799467671643,2.679225427934332,969.5,38.0,984.0,49.666666666666664,15.5,12.666666666666664,1335.96630859375,1310.3909733469893,13.127510358786528,0.3201831794825983,13127510.358786529,320183.17948259827,0
2,21,0,24,25,125.0,21,105.0,0.84,534.5113378684808,59.79563492063492,0.9170124520125381,1.8223836414318275,533.0,56.0,536.0,64.0,4.0,9.0,1356.856201171875,1324.1585460844494,2.711984616598783,0.12914212459994204,2711984.616598783,129142.12459994204,1
3,2,0,5,6,30.0,2,10.0,0.3333333333333333,687.7272727272727,82.20454545454545,0.7272727272727479,1.7954545454545467,687.0,80.4090909090909,688.4545454545455,84.0,2.454545454545496,4.5909090909090935,1311.6046142578125,1298.7715454101562,0.5109583338344769,0.25547916691723843,510958.3338344769,255479.16691723844,2
4,48,0,49,50,250.0,48,240.0,0.96,338.0348304473304,110.02113065175566,3.7523643820206343,7.917150878192515,332.0,95.0,348.5,122.0,17.5,28.0,1344.284912109375,1305.9194107055664,10.533443234547883,0.2194467340530809,10533443.234547883,219446.7340530809,4
5,37,0,29,30,150.0,37,185.0,1.2333333333333334,251.4346834254729,169.63387611874452,7.58985462295068,2.8765491231117943,238.0,165.10526315789474,258.44444444444446,176.0,21.444444444444457,11.89473684210526,1323.8822021484375,1302.9507891680744,10.730067900476431,0.29000183514801164,10730067.900476431,290001.8351480116,5
6,40,0,40,41,205.0,40,200.0,0.975609756097561,1550.6022926032301,288.4973876470752,2.843784547756969,2.307918364688881,1544.0,284.2307692307692,1556.0833333333335,293.25,13.083333333333485,10.019230769230774,1333.1536865234375,1322.0166229248048,10.14044770161973,0.25351119254049326,10140447.70161973,253511.19254049327,6
7,25,0,27,28,140.0,25,125.0,0.8928571428571429,533.132518957583,293.169331282513,3.769100870665684,4.35633654559236,525.3775510204081,286.43877551020404,539.0,301.2,14.622448979591923,15.76122448979595,1336.074462890625,1311.97494140625,9.668757944586897,0.3867503177834759,9668757.944586897,386750.3177834759,7
8,13,0,22,23,115.0,13,65.0,0.5652173913043478,213.41843284920208,375.6377690685383,1.7748816261436913,1.4172184704564772,210.5,373.54545454545456,218.33333333333331,378.2857142857143,8.833333333333314,5.740259740259717,1312.744384765625,1300.5455510066106,3.7339289551487793,0.2872253042422138,3733928.9551487793,287225.30424221384,8
9,15,0,14,15,75.0,15,75.0,1.0,631.5347619047619,540.858783068783,2.6329991751013977,2.107389098031868,627.0,538.9166666666667,635.0,546.3,9.0,8.383333333333212,1337.9183349609375,1302.831876627604,2.712012095356612,0.18080080635710746,2712012.095356612,180800.80635710747,10
10,9,0,14,15,75.0,9,45.0,0.6,980.4444444444445,658.1481481481483,1.257078722109418,1.8129241852622937,978.0,656.0,983.0,662.3333333333334,6.0,7.333333333333371,1284.1881103515625,1270.2623697916667,0.4323485434664891,0.048038727051832125,432348.5434664891,48038.727051832124,12
