event_id,n_detections,frame_start,frame_end,total_lifetime_frames,total_lifetime_seconds,active_frames,active_seconds,duty_cycle,x_centroid,y_centroid,x_std,y_std,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width_px,bbox_height_px,peak_intensity,mean_intensity,total_area_Mm2,mean_detection_area_Mm2,total_area_km2,mean_detection_area_km2,original_cluster_id
1,16,0,16,17,85.0,16,80.0,0.9411764705882353,341.5314010642136,100.63717667748918,1.6586461902013327,2.798967679318014,338.0,95.0,344.0,105.0,7.0,11.0,1344.284912109375,1314.7529525756836,4.9523628735329375,0.3095226795958086,4952362.873532938,309522.6795958086,0
2,44,0,48,49,245.0,44,220.0,0.8979591836734694,703.5928384809635,110.10104562104561,1.8999887868661407,2.773265021884953,700.75,105.0,709.5,115.4,9.75,11.400000000000006,1347.19873046875,1323.019581187855,10.690648710476273,0.24296928887446076,10690648.710476274,242969.28887446076,1
3,31,0,32,33,165.0,31,155.0,0.9393939393939394,675.0645217935242,111.94144740988119,1.8227009302893133,2.267949661542995,671.5833333333334,108.0,678.8571428571428,115.875,8.273809523809405,8.875,1355.0693359375,1315.4088056010585,13.009597133702982,0.4196644236678381,13009597.133702982,419664.4236678381,2
4,26,0,28,29,145.0,26,130.0,0.896551724137931,256.09337427642083,168.25376387838435,1.1978356043845537,1.7240020621065921,254.0,165.10526315789474,258.44444444444446,172.0,5.444444444444457,7.89473684210526,1321.633056640625,1309.180419921875,9.354420627383607,0.35978540874552334,9354420.627383608,359785.40874552337,3
5,24,0,27,28,140.0,24,120.0,0.8571428571428571,533.4556426216319,293.4497711063592,3.491105919393992,4.219270304123761,528.7239583333334,286.6666666666667,539.0,301.2,11.276041666666629,15.533333333333303,1336.074462890625,1311.4220072428386,8.804073079104473,0.3668363782960197,8804073.079104474,366836.37829601974,4
6,12,0,22,23,115.0,12,60.0,0.5217391304347826,213.00885780885778,375.6631387131388,1.109932238761395,1.4722489023532268,210.5,373.54545454545456,214.0909090909091,378.2857142857143,4.5909090909090935,5.740259740259717,1312.744384765625,1300.3031514485676,3.576711680335124,0.2980593066945937,3576711.680335124,298059.3066945937,5
7,6,0,16,17,85.0,6,30.0,0.35294117647058826,1580.972222222222,405.2123015873015,1.5446043082731173,1.8107819439196116,1578.0833333333333,402.25,1583.0,408.0,5.9166666666667425,6.75,1308.535400390625,1291.8620198567708,0.9826131560283177,0.16376885933805294,982613.1560283176,163768.85933805295,7
8,6,0,6,7,35.0,6,30.0,0.8571428571428571,960.7777777777777,680.4444444444445,1.1166528467912162,1.9759354715309783,959.6666666666666,677.5,963.0,683.0,4.333333333333371,6.5,1289.67529296875,1279.8992919921875,0.3930456851691808,0.06550761419486346,393045.6851691808,65507.61419486346,8
9,8,0,9,10,50.0,8,40.0,0.8,1225.6770833333335,670.6666666666667,0.8105612553108444,1.64147630029935,1224.25,668.5,1227.0,673.0,3.75,5.5,1325.490478515625,1305.8253021240234,0.668176800031156,0.0835221000038945,668176.8000311559,83522.10000389449,9
10,10,0,11,12,60.0,10,50.0,0.8333333333333334,2020.8545614035088,794.2618899521531,0.8048911297103192,2.1815470843927813,2019.375,790.0,2022.0,797.625,3.625,8.625,1335.436767578125,1318.3797485351563,4.4414143782416025,0.44414143782416027,4441414.378241602,444141.43782416027,10
