frame,x,y,area_px,intensity,area_km2
4,548.5,747.5,4.0,4105.5986328125,138606.49568582693
4,1192.5,796.6666666666666,6.0,4581.9287109375,207909.7435287404
4,1192.1666666666667,806.6666666666666,6.0,4679.734375,207909.7435287404
4,1194.6666666666667,816.3333333333334,3.0,3921.7431640625,103954.8717643702
4,1465.25,906.0,4.0,4292.2744140625,138606.49568582693
4,1456.3333333333333,908.6666666666666,3.0,4484.1240234375,103954.8717643702
4,1468.3333333333333,909.0,3.0,4105.5986328125,103954.8717643702
4,1454.0,921.0,3.0,4292.2744140625,103954.8717643702
4,1818.5,2028.0,4.0,4981.6142578125,138606.49568582693
5,331.42857142857144,1.2857142857142858,7.0,5833.9404296875,242561.3674501971
5,1121.0,5.0,3.0,5506.5126953125,103954.8717643702
5,130.875,124.75,8.0,5506.5126953125,277212.99137165386
5,1206.0,125.0,3.0,4013.080078125,103954.8717643702
5,165.5,147.5,4.0,4387.34765625,138606.49568582693
5,1285.0,151.4,5.0,4780.71484375,173258.11960728368
5,1252.5,151.75,4.0,3921.6728515625,138606.49568582693
5,153.85714285714286,192.71428571428572,7.0,4679.7587890625,242561.3674501971
5,1913.6666666666667,299.6666666666667,3.0,3921.6728515625,103954.8717643702
5,1725.25,390.0,4.0,5506.5126953125,138606.49568582693
5,657.5,507.5,6.0,4105.8505859375,207909.7435287404
5,746.0,519.0,3.0,4105.8505859375,103954.8717643702
5,1234.0,785.5,4.0,4679.7587890625,138606.49568582693
5,1192.2,794.6,5.0,4581.9853515625,173258.11960728368
5,1191.8,804.8,5.0,4198.1669921875,173258.11960728368
5,1108.3333333333333,809.3333333333334,3.0,4484.2119140625,103954.8717643702
5,1194.2,814.4,5.0,4105.8505859375,173258.11960728368
5,1465.3333333333333,904.3333333333334,3.0,4013.080078125,103954.8717643702
5,1178.0,949.0,3.0,4198.1669921875,103954.8717643702
6,330.25,0.75,4.0,4387.62890625,138606.49568582693
6,1119.4,6.2,5.0,5084.9111328125,173258.11960728368
6,129.25,123.875,8.0,4981.6259765625,277212.99137165386
6,199.0,127.0,3.0,4292.1875,103954.8717643702
6,1312.3333333333333,132.66666666666666,3.0,3921.755859375,103954.8717643702
6,163.5,146.5,4.0,4581.99609375,138606.49568582693
6,1283.5,150.0,4.0,4292.1875,138606.49568582693
6,152.5,192.0,4.0,4292.1875,138606.49568582693
6,655.0,510.0,5.0,3921.755859375,173258.11960728368
6,1190.3333333333333,793.6666666666666,3.0,4780.7216796875,103954.8717643702
6,1109.6666666666667,794.3333333333334,3.0,4387.62890625,103954.8717643702
6,1099.3333333333333,803.0,3.0,4198.0546875,103954.8717643702
6,1189.857142857143,805.1428571428571,7.0,4198.0546875,242561.3674501971
6,1463.5,904.75,4.0,3921.755859375,138606.49568582693
6,1166.4,944.8,5.0,4981.6259765625,173258.11960728368
7,331.6666666666667,1.3333333333333333,9.0,8255.6376953125,311864.6152931106
7,1120.5,8.5,6.0,5292.9287109375,207909.7435287404
7,130.0,125.125,8.0,4292.2578125,277212.99137165386
7,198.0,130.0,3.0,4012.95703125,103954.8717643702
7,164.33333333333334,147.66666666666666,3.0,4780.5703125,103954.8717643702
7,1284.0,151.33333333333334,3.0,4105.4404296875,103954.8717643702
7,1748.6666666666667,415.3333333333333,3.0,6399.9560546875,103954.8717643702
7,655.3333333333334,507.3333333333333,3.0,3921.861328125,103954.8717643702
7,655.4285714285714,512.4285714285714,7.0,4105.4404296875,242561.3674501971
7,744.6666666666666,519.3333333333334,3.0,3921.861328125,103954.8717643702
7,1233.5,788.5,4.0,4387.515625,138606.49568582693
7,1190.2857142857142,806.2857142857143,7.0,4679.763671875,242561.3674501971
7,1463.0,905.0,3.0,3921.861328125,103954.8717643702
7,1435.6666666666667,917.6666666666666,3.0,4012.95703125,103954.8717643702
7,1167.0,946.0,3.0,5085.3037109375,103954.8717643702
8,131.0,125.44444444444444,9.0,4484.00439453125,311864.6152931106
8,202.33333333333334,131.33333333333334,3.0,4387.39404296875,103954.8717643702
8,165.5,148.0,4.0,5085.212890625,138606.49568582693
8,25.666666666666668,187.33333333333334,3.0,3832.05810546875,103954.8717643702
8,1702.0,325.3333333333333,3.0,4198.34326171875,103954.8717643702
8,1728.0,364.5,4.0,4582.0048828125,138606.49568582693
8,1730.0,375.0,5.0,4780.4384765625,173258.11960728368
8,1729.3333333333333,379.3333333333333,3.0,4105.5556640625,103954.8717643702
8,1723.0,391.75,4.0,5615.18017578125,138606.49568582693
8,657.5,508.5,4.0,4105.5556640625,138606.49568582693
8,1191.6666666666667,794.6666666666666,3.0,4105.5556640625,103954.8717643702
8,1192.1,806.7,10.0,4881.21923828125,346516.23921456735
8,1465.8333333333333,905.0,6.0,4198.34326171875,207909.7435287404
9,166.5,149.5,4.0,4780.37255859375,138606.49568582693
9,1703.2222222222222,326.3333333333333,9.0,4680.08984375,311864.6152931106
9,1728.0,365.3333333333333,3.0,4013.0947265625,103954.8717643702
9,1726.25,391.0,4.0,4484.189453125,138606.49568582693
9,658.0,512.5,6.0,4292.17578125,207909.7435287404
9,1233.4,785.2,5.0,5085.10693359375,173258.11960728368
9,1192.3333333333333,795.6666666666666,3.0,4484.189453125,103954.8717643702
9,1192.888888888889,807.5555555555555,9.0,4881.04345703125,311864.6152931106
