frame,x,y,area_px,area_Mm2,intensity,bbox
0,983.0,43.0,2.0,0.078609329201371,1271.82470703125,"(np.int64(43), np.int64(982), np.int64(44), np.int64(985))"
0,533.0,63.42857142857143,7.0,0.2751326522047985,1265.7314453125,"(np.int64(62), np.int64(531), np.int64(65), np.int64(536))"
0,238.66666666666666,176.33333333333334,3.0,0.1179139938020565,1272.156982421875,"(np.int64(176), np.int64(238), np.int64(178), np.int64(240))"
0,521.8428571428572,293.6857142857143,13.0,0.5109606398089115,1300.85009765625,"(np.int64(284), np.int64(513), np.int64(308), np.int64(538))"
0,1550.4166666666665,290.83333333333337,5.0,0.1965233230034275,1326.8399658203125,"(np.int64(290), np.int64(1548), np.int64(292), np.int64(1554))"
0,4.5,340.0,2.0,0.078609329201371,1250.066650390625,"(np.int64(340), np.int64(4), np.int64(341), np.int64(6))"
0,1976.6666666666667,450.75,6.0,0.23582798760411297,1236.1522216796875,"(np.int64(447), np.int64(1973), np.int64(455), np.int64(1981))"
0,2019.0869565217392,797.7391304347826,23.0,0.9040072858157664,1335.436767578125,"(np.int64(794), np.int64(2016), np.int64(801), np.int64(2023))"
0,94.66666666666667,1013.3333333333334,5.0,0.19652332300342748,1286.0050048828125,"(np.int64(1003), np.int64(93), np.int64(1021), np.int64(97))"
0,1575.5,1271.5,2.0,0.078609329201371,1222.3707275390625,"(np.int64(1271), np.int64(1575), np.int64(1273), np.int64(1577))"
0,713.8452380952381,1483.392857142857,31.0,1.2184446026212505,1318.77490234375,"(np.int64(1478), np.int64(711), np.int64(1488), np.int64(721))"
0,1153.8333333333333,1519.4444444444446,10.0,0.393046646006855,1309.646240234375,"(np.int64(1518), np.int64(1150), np.int64(1523), np.int64(1158))"
0,746.5,1743.5,2.0,0.078609329201371,1192.7470703125,"(np.int64(1743), np.int64(746), np.int64(1745), np.int64(748))"
0,1316.0,1936.5,4.0,0.157218658402742,1297.21630859375,"(np.int64(1936), np.int64(1315), np.int64(1938), np.int64(1318))"
0,541.0,1954.5,2.0,0.078609329201371,1236.728271484375,"(np.int64(1954), np.int64(541), np.int64(1956), np.int64(542))"
0,952.3333333333334,2011.6666666666667,3.0,0.1179139938020565,1309.5576171875,"(np.int64(2011), np.int64(952), np.int64(2013), np.int64(954))"
1,533.25,61.25,12.0,0.4716555139778923,1325.582275390625,"(np.int64(60), np.int64(531), np.int64(64), np.int64(536))"
1,239.0,174.0,3.0,0.11791387849447307,1323.8822021484375,"(np.int64(173), np.int64(239), np.int64(176), np.int64(240))"
1,523.3000000000001,295.2,10.0,0.3930462616482436,1240.692138671875,"(np.int64(280), np.int64(513), np.int64(305), np.int64(539))"
1,1551.15,289.05,7.0,0.27513238315377053,1307.3865966796875,"(np.int64(288), np.int64(1548), np.int64(291), np.int64(1555))"
1,1977.7777777777776,447.72222222222223,6.0,0.23582775698894615,1248.296630859375,"(np.int64(445), np.int64(1974), np.int64(452), np.int64(1982))"
1,2019.590909090909,796.1363636363636,22.0,0.8647017756261359,1326.662109375,"(np.int64(793), np.int64(2016), np.int64(799), np.int64(2023))"
1,96.0,1016.0,3.0,0.11791387849447307,1292.935791015625,"(np.int64(1015), np.int64(96), np.int64(1018), np.int64(97))"
1,535.0,1425.5,2.0,0.07860925232964872,1247.2857666015625,"(np.int64(1425), np.int64(535), np.int64(1427), np.int64(536))"
1,716.90625,1478.6875,32.0,1.2577480372743794,1316.9669189453125,"(np.int64(1476), np.int64(713), np.int64(1482), np.int64(721))"
1,62.0,1499.5,2.0,0.07860925232964872,1226.379150390625,"(np.int64(1499), np.int64(62), np.int64(1501), np.int64(63))"
1,1153.0,1518.0833333333333,12.0,0.4716555139778923,1316.5303955078125,"(np.int64(1517), np.int64(1150), np.int64(1520), np.int64(1157))"
1,1317.2857142857142,1934.5714285714287,7.0,0.27513238315377053,1309.063720703125,"(np.int64(1934), np.int64(1316), np.int64(1936), np.int64(1320))"
1,542.0,1952.5,2.0,0.07860925232964872,1228.676513671875,"(np.int64(1952), np.int64(542), np.int64(1954), np.int64(543))"
