frame,x,y,area_px,intensity,area_km2,track_id
0,121.16666666666667,38.833333333333336,6.0,2180.1298828125,207909.7435287404,3
0,224.5,27.0,8.0,2248.6591796875,277212.99137165386,8
0,1264.1764705882354,412.94117647058823,34.0,2317.1884765625,1178155.213329529,9
0,1514.5555555555557,406.0,9.0,2180.1298828125,311864.6152931106,12
0,1257.2,406.0,5.0,2112.9990234375,173258.11960728368,15
0,1488.125,426.75,8.0,2112.9990234375,277212.99137165386,24
0,1764.0,421.5,8.0,2248.6591796875,277212.99137165386,27
0,1206.5,60.5,4.0,2047.267578125,138606.49568582693,31
0,655.25,490.0,4.0,2248.6591796875,138606.49568582693,34
0,1396.0,486.75,8.0,2180.1298828125,277212.99137165386,40
0,1403.4285714285713,476.7142857142857,14.0,2248.6591796875,485122.7349003942,45
0,623.8,526.8,5.0,2047.267578125,173258.11960728368,48
0,1788.7058823529412,525.0,17.0,2180.1298828125,589077.6066647645,51
0,701.9,521.3,10.0,2459.3740234375,346516.23921456735,53
0,683.1818181818181,518.6363636363636,11.0,2248.6591796875,381167.86313602404,54
0,716.3333333333334,506.969696969697,33.0,2388.0478515625,1143503.5894080722,59
0,1299.2222222222222,580.2222222222222,27.0,2317.1884765625,935593.8458793318,65
0,1577.0,556.5,4.0,2112.9990234375,138606.49568582693,67
0,1042.0,556.1,10.0,2317.1884765625,346516.23921456735,68
0,1583.25,552.0,4.0,2047.267578125,138606.49568582693,69
0,1047.1555555555556,548.8444444444444,45.0,2531.6328125,1559323.076465553,72
0,756.75,546.0,4.0,2112.9990234375,138606.49568582693,73
0,653.56,547.24,25.0,2248.6591796875,866290.5980364183,74
0,1053.5714285714287,539.8571428571429,7.0,2180.1298828125,242561.3674501971,76
0,1054.0,533.2222222222222,9.0,2248.6591796875,311864.6152931106,78
0,1501.4285714285713,621.7142857142857,7.0,2112.9990234375,242561.3674501971,83
0,674.25,580.25,4.0,2248.6591796875,138606.49568582693,94
0,967.6315789473684,659.2631578947369,19.0,2388.0478515625,658380.854507678,102
0,905.375,653.625,8.0,2388.0478515625,277212.99137165386,103
0,1495.0,631.2,20.0,2180.1298828125,693032.4784291347,111
0,1405.8181818181818,708.0909090909091,11.0,2180.1298828125,381167.86313602404,113
0,1522.75,705.25,4.0,2112.9990234375,138606.49568582693,114
0,1383.8,703.2,5.0,2180.1298828125,173258.11960728368,115
0,1336.0,694.0,8.0,2388.0478515625,277212.99137165386,120
0,1602.2222222222222,686.5555555555555,9.0,2180.1298828125,311864.6152931106,122
0,1118.0,756.2,5.0,2112.9990234375,173258.11960728368,128
0,1215.3333333333333,752.6666666666666,12.0,2531.6328125,415819.4870574808,130
0,1313.3333333333333,734.1666666666666,6.0,2459.3740234375,207909.7435287404,133
0,1526.5294117647059,715.4117647058823,17.0,2248.6591796875,589077.6066647645,140
0,617.5,711.4166666666666,12.0,2248.6591796875,415819.4870574808,143
0,1076.0,780.5,4.0,2248.6591796875,138606.49568582693,147
0,1148.8,781.8,10.0,2388.0478515625,346516.23921456735,148
0,1196.5454545454545,779.9090909090909,11.0,2605.755859375,381167.86313602404,149
0,1244.7142857142858,777.5714285714286,7.0,2248.6591796875,242561.3674501971,150
0,1136.25,770.0,4.0,2112.9990234375,138606.49568582693,154
0,1272.25,766.25,4.0,2112.9990234375,138606.49568582693,155
0,1218.4,761.2,5.0,2180.1298828125,173258.11960728368,157
0,1122.5555555555557,757.7777777777778,9.0,2317.1884765625,311864.6152931106,159
0,123.88888888888889,851.4444444444445,9.0,2248.6591796875,311864.6152931106,160
0,131.0,850.2857142857143,7.0,2180.1298828125,242561.3674501971,161
0,894.2222222222222,847.4444444444445,9.0,2605.755859375,311864.6152931106,163
0,874.5833333333334,832.4166666666666,12.0,2531.6328125,415819.4870574808,164
0,1208.6,826.8,5.0,2317.1884765625,173258.11960728368,166
0,1217.0,815.8333333333334,12.0,2605.755859375,415819.4870574808,171
0,1289.2,807.8,5.0,2248.6591796875,173258.11960728368,173
0,1247.6,799.4,5.0,2388.0478515625,173258.11960728368,174
0,1229.4285714285713,910.7142857142857,7.0,2180.1298828125,242561.3674501971,176
0,934.1428571428571,909.8571428571429,7.0,2180.1298828125,242561.3674501971,177
0,955.6666666666666,906.6666666666666,6.0,2248.6591796875,207909.7435287404,179
0,901.3333333333334,903.5,6.0,2317.1884765625,207909.7435287404,182
0,912.6,879.4,5.0,2180.1298828125,173258.11960728368,186
0,1520.5652173913043,946.8260869565217,23.0,2388.0478515625,796987.3501935048,192
0,1425.4444444444443,946.0,9.0,2317.1884765625,311864.6152931106,195
0,1408.25,933.75,4.0,2112.9990234375,138606.49568582693,197
0,985.25,918.25,4.0,2180.1298828125,138606.49568582693,205
0,847.8888888888889,918.7777777777778,9.0,2388.0478515625,311864.6152931106,206
0,1023.5,983.0,4.0,2317.1884765625,138606.49568582693,208
0,904.2857142857143,972.5714285714286,7.0,2605.755859375,242561.3674501971,212
0,1285.7142857142858,966.2142857142857,14.0,2248.6591796875,485122.7349003942,217
0,913.3571428571429,970.9047619047619,42.0,2248.6591796875,1455368.2047011827,218
0,1153.7692307692307,955.3076923076923,13.0,2248.6591796875,450471.11097893753,221
0,636.1666666666666,1052.8333333333333,12.0,2388.0478515625,415819.4870574808,224
0,387.6,1051.4,5.0,2180.1298828125,173258.11960728368,225
0,634.0,1048.5,6.0,2112.9990234375,207909.7435287404,226
0,388.6,1045.8,5.0,2180.1298828125,173258.11960728368,228
0,961.7857142857143,1028.857142857143,14.0,2388.0478515625,485122.7349003942,230
0,669.0,995.1666666666666,6.0,2248.6591796875,207909.7435287404,237
0,759.2,1148.4,5.0,2317.1884765625,173258.11960728368,243
0,741.8888888888889,1099.3333333333333,9.0,2388.0478515625,311864.6152931106,248
0,1283.25,1067.25,4.0,2112.9990234375,138606.49568582693,252
0,1287.2,1060.5,10.0,2248.6591796875,346516.23921456735,254
0,315.57142857142856,1281.2857142857142,7.0,2317.1884765625,242561.3674501971,259
0,311.7857142857143,1277.2857142857142,14.0,2248.6591796875,485122.7349003942,260
0,737.4166666666666,1270.2083333333333,24.0,2388.0478515625,831638.9741149616,263
0,678.5,1255.5,6.0,2248.6591796875,207909.7435287404,264
0,685.125,1255.28125,32.0,2531.6328125,1108851.9654866154,265
0,1530.5,376.5,4.0,2180.1298828125,138606.49568582693,273
0,1703.0,344.14285714285717,7.0,2180.1298828125,242561.3674501971,275
0,1874.0,339.5,4.0,2317.1884765625,138606.49568582693,276
0,43.333333333333336,338.3333333333333,6.0,2112.9990234375,207909.7435287404,278
0,592.6666666666666,1399.8,15.0,2180.1298828125,519774.35882185097,284
0,665.1428571428571,1314.857142857143,7.0,2180.1298828125,242561.3674501971,286
0,1320.8181818181818,119.0,11.0,2605.755859375,381167.86313602404,290
0,1324.0,114.0,12.0,2388.0478515625,415819.4870574808,293
0,1318.75,111.0,4.0,2180.1298828125,138606.49568582693,294
0,1250.9,387.9,10.0,2180.1298828125,346516.23921456735,299
0,1663.7777777777778,387.6666666666667,9.0,2180.1298828125,311864.6152931106,300
0,1302.3636363636363,380.72727272727275,11.0,2180.1298828125,381167.86313602404,302
