frame,x,y,area_px,intensity,area_km2,cluster_id,occurrences
4,30.5,1284.6470588235295,34.0,18035.333984375,1178155.213329529,7,16
5,331.5,0.5,4.0,5833.9404296875,138606.49568582693,9,22
5,1699.6666666666667,320.3333333333333,3.0,5293.23046875,103954.8717643702,16,16
5,1725.0,390.0,1.0,5506.5126953125,34651.62392145673,1,25
5,969.3636363636364,1121.0454545454545,22.0,6284.607421875,762335.7262720481,6,28
5,29.833333333333332,1285.0,30.0,16143.357421875,1039548.7176437019,7,16
6,29.7374146968648,844.7709425378301,10111.0,13167.7265625,350362569.469849,3,18
6,27.40909090909091,1287.0,22.0,12836.08203125,762335.7262720481,7,16
7,331.7142857142857,0.8571428571428571,7.0,8255.6376953125,242561.3674501971,9,22
7,1922.0,302.0,1.0,4780.5703125,34651.62392145673,0,26
7,1661.0,306.0,1.0,4780.5703125,34651.62392145673,16,16
7,1749.0,415.0,1.0,6399.9560546875,34651.62392145673,1,25
7,1223.0,788.0,1.0,5292.9287109375,34651.62392145673,22,7
7,27.82758620689655,1290.7586206896551,29.0,10493.73828125,1004897.0937222452,7,16
8,332.375,1.625,8.0,6399.87890625,277212.99137165386,9,22
8,30.409960956099418,845.7747833539663,10501.0,12510.3125,363876702.79921716,3,18
8,969.2222222222222,1121.2777777777778,18.0,5945.32373046875,623729.2305862212,6,28
8,29.448275862068964,1289.2758620689656,29.0,14881.0908203125,1004897.0937222452,7,16
9,29.91304347826087,1292.608695652174,23.0,13501.8408203125,796987.3501935048,7,16
10,30.227272727272727,1292.2727272727273,22.0,12349.126953125,762335.7262720481,7,16
11,30.09090909090909,1292.5,22.0,7993.86767578125,762335.7262720481,7,16
12,1447.0,715.0,3.0,6870.7939453125,103954.8717643702,24,5
12,0.0,812.0,1.0,4780.71484375,34651.62392145673,25,5
12,29.77777777777778,1291.9259259259259,27.0,11403.390625,935593.8458793318,7,16
13,1446.5,715.0,2.0,6056.52587890625,69303.24784291346,24,5
13,102.0,752.0,1.0,4881.2685546875,34651.62392145673,26,2
