event_id,num_detections,lifetime_frames,lifetime_seconds,x_centroid,y_centroid,mean_area_px,mean_area_km2,peak_intensity,frame_start,frame_end
67,3,3,15,1214.362962962963,2019.3703703703704,8.0,314434.6008774448,1340.671630859375,8,10
68,2,2,10,491.0333333333333,267.51666666666665,8.0,314434.35748672666,1231.7681884765625,9,10
69,1,1,5,1992.5,406.5,2.0,78608.6374068275,1123.684326171875,9,9
70,2,2,10,1228.4861111111113,663.3472222222222,6.5,255477.97550189772,1298.726318359375,9,10
71,1,1,5,1273.5,675.5,2.0,78608.6374068275,1128.121826171875,9,9
72,5,5,25,1049.3266666666666,1438.7611111111112,6.6,259408.1037704299,1342.6246337890625,9,13
73,1,1,5,1092.5,1718.0,2.0,78608.6374068275,1192.70263671875,9,9
74,8,8,40,538.921879769536,59.599134806166056,14.75,579735.9434903208,1356.5081787109375,10,17
75,2,2,10,1267.7083333333335,680.6805555555557,5.0,196521.3245083195,1225.8157958984375,10,11
76,2,2,10,1634.0,856.8833333333334,6.5,255477.6680530993,1241.43505859375,10,11
77,1,1,5,484.5,1687.5,2.0,78608.5605505941,1131.74267578125,10,10
78,5,5,25,1131.5,1703.3,2.8,110051.74649888845,1326.0966796875,10,14
79,1,1,5,1094.5,1719.0,2.0,78608.5605505941,1237.033447265625,10,10
80,2,2,10,488.1703703703704,266.81296296296296,10.0,393042.26468237315,1221.391845703125,11,12
81,4,4,20,1363.975,585.4125,5.25,206346.95262904835,1323.6697998046875,11,14
82,1,1,5,1225.0,671.75,3.0,117912.72552364241,1170.0615234375,11,11
83,1,1,5,1583.6666666666667,1559.6666666666667,3.0,117912.72552364241,1166.9951171875,11,11
84,1,1,5,480.5,1693.5,2.0,78608.4836824283,1129.7529296875,11,11
85,1,1,5,1210.75,2019.5,3.0,117912.72552364241,1336.1627197265625,11,11
86,3,3,15,547.2777777777778,359.72222222222223,3.0,117912.46933261154,1225.7786865234375,12,14
87,1,1,5,1266.1666666666667,680.8333333333334,4.0,157216.81363508818,1188.6751708984375,12,12
88,5,5,25,1234.4333333333332,835.8666666666666,3.2,125773.18190776222,1314.9298095703125,12,16
89,6,6,30,1631.0446127946127,860.5450336700337,9.666666666666666,379939.8579739851,1315.496826171875,12,17
90,1,1,5,155.5,898.0,2.0,78608.40681754409,1132.9537353515625,12,12
91,1,1,5,1213.0,2021.0,3.0,117912.6102263161,1335.716552734375,12,12
92,1,1,5,485.1666666666667,266.0,4.0,157216.65995260712,1131.5740966796875,13,13
93,3,3,15,1702.2666666666667,319.06666666666666,4.333333333333333,170317.90735942853,1248.338623046875,13,15
94,1,1,5,1263.25,682.25,3.0,117912.4949644553,1203.07958984375,13,13
