event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_Mm2,peak_intensity
44,1,1318.5,1934.5,1,5,2.0,0.0786081762451552,1302.4122314453125
45,24,1342.5482353066675,1931.2985628693289,24,120,13.166666666666666,0.5174970325100128,1317.578369140625
46,3,542.0,1952.1666666666667,3,15,2.0,0.07860925233011833,1298.4156494140625
47,1,543.0,1951.5,1,5,2.0,0.0786090217388514,1288.454833984375
48,1,952.3333333333334,2011.6666666666667,1,5,3.0,0.1179139938020565,1309.5576171875
49,3,954.5,2007.5,3,15,2.0,0.07860902173261193,1287.83984375
50,3,535.6666666666666,1423.1666666666667,3,15,2.0,0.07860917545855663,1336.607421875
51,2,535.0833333333333,1424.1666666666665,2,10,2.5,0.0982611234387051,1337.5382080078125
52,1,534.6666666666666,1421.3333333333333,1,5,3.0,0.1179130714072371,1328.76513671875
53,21,533.2928571428571,1424.3722222222223,21,105,4.095238095238095,0.16095877176261406,1347.355224609375
54,1,535.5,1424.5,1,5,2.0,0.0786066389791377,1299.9005126953125
55,7,62.70238095238095,1497.2023809523812,7,35,3.0,0.11791351063885964,1303.56689453125
56,1,63.0,1494.5,1,5,2.0,0.0786086374068275,1265.2076416015625
57,2,472.53125,1267.8125,2,10,8.0,0.31443652887387996,1303.8857421875
58,24,470.73748340779593,1270.7565118330742,24,120,10.583333333333334,0.4159680417159515,1330.16845703125
59,2,745.75,103.0,2,10,2.0,0.07860906016276864,1284.60205078125
60,10,1214.2027777777778,2020.6330555555555,10,50,5.2,0.20438285311714993,1340.671630859375
61,10,1212.7033333333334,2023.7383333333335,10,50,3.5,0.1375624483310764,1345.1029052734375
62,1,1216.5,2023.0,1,5,2.0,0.0786066389791377,1290.0323486328125
63,1,548.0,359.5,1,5,2.0,0.0786090217388514,1214.36572265625
64,1,547.3333333333334,358.6666666666667,1,5,3.0,0.1179130714072371,1218.0645751953125
65,1,548.0,358.5,1,5,2.0,0.0786085605505941,1205.95947265625
66,2,547.5,360.0,2,10,2.0,0.07860829154211055,1225.7786865234375
67,2,36.75,482.25,2,10,2.0,0.07860898330557495,1228.6168212890625
68,1,35.5,479.5,1,5,2.0,0.0786085605505941,1210.091064453125
